Date,Bahamas,Belice,Bermudas,Bolivia,Brasil,Canada,Chile,Colombia,Costa Rica,Republica Dominicana,Ecuador,Guatemala,Honduras,Haiti,Jamaica,Mexico,Peru,Paraguay,El Salvador,Uruguay,Estados Unidos,America_Latina
1981,132,-1418,54,-13478,-14927,89387,-30641,-56188,3744,-19810,-2418,-47021,-11671,-22337,-14619,-475073,-15019,-2478,-97365,-13572,719062,-848481
1982,168,-1590,33,-14580,-23807,64523,-30852,-46855,3776,-20884,-2700,-48740,-12163,-23399,-13950,-489089,-14261,-2726,-27159,-12126,701091,-789312
1983,245,-1579,-62,-15432,-17884,33942,-30484,-29939,3769,-21584,-2882,-37255,-12647,-23969,-15060,-486358,-7843,-2848,-25694,-10672,799544,-739636
1984,304,-1515,-6,-16620,-20225,24433,-28058,-34909,3709,-22238,-3021,-29302,-13181,-24456,-18216,-547736,-16863,-3769,-27767,-9735,726016,-817723
1985,470,-1476,-43,-17558,-13535,39796,-24137,-35855,3631,-23385,-3146,-28843,-13739,-24908,-22369,-588611,-23587,-3564,-29111,-8838,759118,-867237
1986,392,-1494,-67,-18299,-24426,94389,-19630,-48299,3547,-24769,-3263,-33216,-14253,-25286,-26338,-641663,-37880,-3460,-32181,-8050,684733,-973441
1987,331,-1502,-93,-18952,-22335,141697,-15430,-44372,3497,-25852,-4709,-33790,-14660,-25548,-28956,-618502,-40277,-3444,-32308,-6833,677547,-955756
1988,419,-1587,-144,-19567,-11309,207777,-12126,-32292,3725,-26560,-8299,-32425,-14918,-25687,-29249,-573155,-36127,-3558,-30806,-6585,759523,-884141
1989,527,-1701,-112,-20719,-2800,223071,-8686,-27370,5357,-26983,-11360,-32522,-15147,-25881,-28052,-592054,-37668,-4012,-38211,-7236,919737,-910770
1990,241,-1793,-96,-21915,6457,145270,-5253,-17237,7941,-27399,-15159,-30399,-15350,-26101,-26080,-286584,-35982,-4689,-39690,-7498,1421775,-602467
1991,416,-1698,-33,-22984,-30659,127381,-2214,-48488,10755,-29349,-21384,-40877,-15507,-26326,-24007,-319832,-61663,-5420,-50621,-7720,1569223,-767520
