,ARIMA Predictions
1970-01-01,2.5044544635306387
1971-01-01,2.471885141356564
1972-01-01,2.4508673649532358
1973-01-01,2.433790057755702
1974-01-01,2.4218540891687197
1975-01-01,2.3924396784854762
1976-01-01,2.351353254574538
1977-01-01,2.3168813952033047
1978-01-01,2.338868125827964
1979-01-01,2.349863978656363
1980-01-01,2.290807975894269
1981-01-01,2.218061805375815
1982-01-01,2.1046954221637977
1983-01-01,2.0908739221720802
1984-01-01,2.1128195847187103
1985-01-01,2.057405224356064
1986-01-01,2.001844577587058
1987-01-01,1.9573389268422312
1988-01-01,1.923412692477139
1989-01-01,1.9079196610201419
1990-01-01,1.8709838527480165
1991-01-01,1.8884968604416326
1992-01-01,1.8473158036303547
1993-01-01,1.7681084243439855
1994-01-01,1.7424472817946488
1995-01-01,1.7136153823575944
1996-01-01,1.6684113343007823
1997-01-01,1.6112933301027346
1998-01-01,1.574119253770549
1999-01-01,1.5319380281817017
2000-01-01,1.4839719461955585
2001-01-01,1.430972681533264
2002-01-01,1.376871729580984
2003-01-01,1.3282981166144179
2004-01-01,1.2654468552628124
2005-01-01,1.2414938642357094
2006-01-01,1.2184082914454162
2007-01-01,1.1637573546237827
2008-01-01,1.1295915197549582
2009-01-01,1.0940442218822437
2010-01-01,1.082281380533716
2011-01-01,1.0113066926008156
2012-01-01,1.1896432612590302
2013-01-01,1.101622486964352
2014-01-01,1.051755492199644
2015-01-01,1.0287881537788086
2016-01-01,1.0136453477156118
2017-01-01,0.9925840887828031
2018-01-01,0.9476523515531659
2019-01-01,0.8722022706632307
2020-01-01,0.85730399941331
2021-01-01,0.749031481508907
2022-01-01,0.5747586525846418
2023-01-01,0.4825461291496814
2024-01-01,0.40438599160232364
2025-01-01,0.33813677865533476
