web-scraper-order,web-scraper-start-url,Año,inflacion
"1677121675-3952","https://www.datosmundial.com/america/barbados/inflacion.php","2020","4,50 %"
"1677121675-3952","https://www.datosmundial.com/america/barbados/inflacion.php","2019","4,10 %"
"1677121675-3953","https://www.datosmundial.com/america/barbados/inflacion.php","2018","3,67 %"
"1677121675-3954","https://www.datosmundial.com/america/barbados/inflacion.php","2017","4,66 %"
"1677121675-3955","https://www.datosmundial.com/america/barbados/inflacion.php","2016","1,28 %"
"1677121675-3956","https://www.datosmundial.com/america/barbados/inflacion.php","2015","-1,11 %"
"1677121675-3957","https://www.datosmundial.com/america/barbados/inflacion.php","2014","1,77 %"
"1677121675-3958","https://www.datosmundial.com/america/barbados/inflacion.php","2013","1,81 %"
"1677121675-3959","https://www.datosmundial.com/america/barbados/inflacion.php","2012","4,53 %"
"1677121675-3960","https://www.datosmundial.com/america/barbados/inflacion.php","2011","9,43 %"
"1677121675-3961","https://www.datosmundial.com/america/barbados/inflacion.php","2010","5,82 %"
"1677121675-3962","https://www.datosmundial.com/america/barbados/inflacion.php","2009","3,64 %"
"1677121675-3963","https://www.datosmundial.com/america/barbados/inflacion.php","2008","8,11 %"
"1677121675-3964","https://www.datosmundial.com/america/barbados/inflacion.php","2007","4,03 %"
"1677121675-3965","https://www.datosmundial.com/america/barbados/inflacion.php","2006","7,31 %"
"1677121675-3966","https://www.datosmundial.com/america/barbados/inflacion.php","2005","6,08 %"
"1677121675-3967","https://www.datosmundial.com/america/barbados/inflacion.php","2004","1,39 %"
"1677121675-3968","https://www.datosmundial.com/america/barbados/inflacion.php","2003","1,62 %"
"1677121675-3969","https://www.datosmundial.com/america/barbados/inflacion.php","2002","0,13 %"
"1677121675-3970","https://www.datosmundial.com/america/barbados/inflacion.php","2001","2,58 %"
"1677121675-3971","https://www.datosmundial.com/america/barbados/inflacion.php","2000","2,44 %"
"1677121675-3972","https://www.datosmundial.com/america/barbados/inflacion.php","1999","1,56 %"
"1677121675-3973","https://www.datosmundial.com/america/barbados/inflacion.php","1998","-1,27 %"
"1677121675-3974","https://www.datosmundial.com/america/barbados/inflacion.php","1997","7,71 %"
"1677121675-3975","https://www.datosmundial.com/america/barbados/inflacion.php","1996","2,39 %"
"1677121675-3976","https://www.datosmundial.com/america/barbados/inflacion.php","1995","1,88 %"
"1677121675-3977","https://www.datosmundial.com/america/barbados/inflacion.php","1994","0,08 %"
"1677121675-3978","https://www.datosmundial.com/america/barbados/inflacion.php","1993","1,11 %"
"1677121675-3979","https://www.datosmundial.com/america/barbados/inflacion.php","1992","6,09 %"
"1677121675-3980","https://www.datosmundial.com/america/barbados/inflacion.php","1991","6,26 %"
"1677121675-3981","https://www.datosmundial.com/america/barbados/inflacion.php","1990","3,07 %"
"1677121675-3982","https://www.datosmundial.com/america/barbados/inflacion.php","1989","6,19 %"
"1677121675-3983","https://www.datosmundial.com/america/barbados/inflacion.php","1988","4,86 %"
"1677121675-3984","https://www.datosmundial.com/america/barbados/inflacion.php","1987","3,31 %"
"1677121675-3985","https://www.datosmundial.com/america/barbados/inflacion.php","1986","1,33 %"
"1677121675-3986","https://www.datosmundial.com/america/barbados/inflacion.php","1985","3,92 %"
"1677121675-3987","https://www.datosmundial.com/america/barbados/inflacion.php","1984","4,69 %"
"1677121675-3988","https://www.datosmundial.com/america/barbados/inflacion.php","1983","5,23 %"
"1677121675-3989","https://www.datosmundial.com/america/barbados/inflacion.php","1982","10,33 %"
"1677121675-3990","https://www.datosmundial.com/america/barbados/inflacion.php","1981","14,57 %"
"1677121675-3991","https://www.datosmundial.com/america/barbados/inflacion.php","1980","14,43 %"
"1677121675-3992","https://www.datosmundial.com/america/barbados/inflacion.php","1979","13,17 %"
"1677121675-3993","https://www.datosmundial.com/america/barbados/inflacion.php","1978","9,48 %"
"1677121675-3994","https://www.datosmundial.com/america/barbados/inflacion.php","1977","8,35 %"
"1677121675-3995","https://www.datosmundial.com/america/barbados/inflacion.php","1976","4,99 %"
"1677121675-3996","https://www.datosmundial.com/america/barbados/inflacion.php","1975","20,29 %"
"1677121675-3997","https://www.datosmundial.com/america/barbados/inflacion.php","1974","38,92 %"
"1677121675-3998","https://www.datosmundial.com/america/barbados/inflacion.php","1973","16,86 %"
"1677121675-3999","https://www.datosmundial.com/america/barbados/inflacion.php","1972","11,88 %"
"1677121675-4000","https://www.datosmundial.com/america/barbados/inflacion.php","1971","7,47 %"
"1677121675-4001","https://www.datosmundial.com/america/barbados/inflacion.php","1970","7,28 %"
"1677121675-4002","https://www.datosmundial.com/america/barbados/inflacion.php","1969","5,84 %"
"1677121675-4003","https://www.datosmundial.com/america/barbados/inflacion.php","1968","7,49 %"
"1677121675-4004","https://www.datosmundial.com/america/barbados/inflacion.php","1967","3,63 %"
