web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122726-4221","https://www.datosmundial.com/america/colombia/inflacion.php","2021","3,50 %"
"1677122726-4222","https://www.datosmundial.com/america/colombia/inflacion.php","2020","2,53 %"
"1677122726-4223","https://www.datosmundial.com/america/colombia/inflacion.php","2019","3,52 %"
"1677122726-4224","https://www.datosmundial.com/america/colombia/inflacion.php","2018","3,24 %"
"1677122726-4225","https://www.datosmundial.com/america/colombia/inflacion.php","2017","4,31 %"
"1677122726-4226","https://www.datosmundial.com/america/colombia/inflacion.php","2016","7,51 %"
"1677122726-4227","https://www.datosmundial.com/america/colombia/inflacion.php","2015","4,99 %"
"1677122726-4228","https://www.datosmundial.com/america/colombia/inflacion.php","2014","2,90 %"
"1677122726-4229","https://www.datosmundial.com/america/colombia/inflacion.php","2013","2,02 %"
"1677122726-4230","https://www.datosmundial.com/america/colombia/inflacion.php","2012","3,17 %"
"1677122726-4231","https://www.datosmundial.com/america/colombia/inflacion.php","2011","3,42 %"
"1677122726-4232","https://www.datosmundial.com/america/colombia/inflacion.php","2010","2,27 %"
"1677122726-4233","https://www.datosmundial.com/america/colombia/inflacion.php","2009","4,20 %"
"1677122726-4234","https://www.datosmundial.com/america/colombia/inflacion.php","2008","7,00 %"
"1677122726-4235","https://www.datosmundial.com/america/colombia/inflacion.php","2007","5,55 %"
"1677122726-4236","https://www.datosmundial.com/america/colombia/inflacion.php","2006","4,29 %"
"1677122726-4237","https://www.datosmundial.com/america/colombia/inflacion.php","2005","5,05 %"
"1677122726-4238","https://www.datosmundial.com/america/colombia/inflacion.php","2004","5,90 %"
"1677122726-4239","https://www.datosmundial.com/america/colombia/inflacion.php","2003","7,13 %"
"1677122726-4240","https://www.datosmundial.com/america/colombia/inflacion.php","2002","6,35 %"
"1677122726-4241","https://www.datosmundial.com/america/colombia/inflacion.php","2001","7,97 %"
"1677122726-4242","https://www.datosmundial.com/america/colombia/inflacion.php","2000","9,22 %"
"1677122726-4243","https://www.datosmundial.com/america/colombia/inflacion.php","1999","10,87 %"
"1677122726-4244","https://www.datosmundial.com/america/colombia/inflacion.php","1998","18,68 %"
"1677122726-4245","https://www.datosmundial.com/america/colombia/inflacion.php","1997","18,46 %"
"1677122726-4246","https://www.datosmundial.com/america/colombia/inflacion.php","1996","20,80 %"
"1677122726-4247","https://www.datosmundial.com/america/colombia/inflacion.php","1995","20,90 %"
"1677122726-4248","https://www.datosmundial.com/america/colombia/inflacion.php","1994","22,85 %"
"1677122726-4249","https://www.datosmundial.com/america/colombia/inflacion.php","1993","22,44 %"
"1677122726-4250","https://www.datosmundial.com/america/colombia/inflacion.php","1992","27,03 %"
"1677122726-4251","https://www.datosmundial.com/america/colombia/inflacion.php","1991","30,35 %"
"1677122726-4252","https://www.datosmundial.com/america/colombia/inflacion.php","1990","29,14 %"
"1677122726-4253","https://www.datosmundial.com/america/colombia/inflacion.php","1989","25,86 %"
"1677122726-4254","https://www.datosmundial.com/america/colombia/inflacion.php","1988","28,14 %"
"1677122726-4255","https://www.datosmundial.com/america/colombia/inflacion.php","1987","23,31 %"
"1677122726-4256","https://www.datosmundial.com/america/colombia/inflacion.php","1986","18,85 %"
"1677122726-4257","https://www.datosmundial.com/america/colombia/inflacion.php","1985","23,97 %"
"1677122726-4258","https://www.datosmundial.com/america/colombia/inflacion.php","1984","16,36 %"
"1677122726-4259","https://www.datosmundial.com/america/colombia/inflacion.php","1983","19,49 %"
"1677122726-4260","https://www.datosmundial.com/america/colombia/inflacion.php","1982","24,70 %"
"1677122726-4261","https://www.datosmundial.com/america/colombia/inflacion.php","1981","27,52 %"
"1677122726-4262","https://www.datosmundial.com/america/colombia/inflacion.php","1980","26,58 %"
"1677122726-4263","https://www.datosmundial.com/america/colombia/inflacion.php","1979","24,20 %"
"1677122726-4264","https://www.datosmundial.com/america/colombia/inflacion.php","1978","17,51 %"
"1677122726-4265","https://www.datosmundial.com/america/colombia/inflacion.php","1977","34,09 %"
"1677122726-4266","https://www.datosmundial.com/america/colombia/inflacion.php","1976","18,92 %"
"1677122726-4267","https://www.datosmundial.com/america/colombia/inflacion.php","1975","25,19 %"
"1677122726-4268","https://www.datosmundial.com/america/colombia/inflacion.php","1974","22,58 %"
"1677122726-4269","https://www.datosmundial.com/america/colombia/inflacion.php","1973","22,60 %"
"1677122726-4270","https://www.datosmundial.com/america/colombia/inflacion.php","1972","12,03 %"
"1677122726-4271","https://www.datosmundial.com/america/colombia/inflacion.php","1971","12,06 %"
"1677122726-4272","https://www.datosmundial.com/america/colombia/inflacion.php","1970","6,91 %"
"1677122726-4273","https://www.datosmundial.com/america/colombia/inflacion.php","1969","6,98 %"
"1677122726-4274","https://www.datosmundial.com/america/colombia/inflacion.php","1968","7,45 %"
"1677122726-4275","https://www.datosmundial.com/america/colombia/inflacion.php","1967","8,33 %"
"1677122726-4276","https://www.datosmundial.com/america/colombia/inflacion.php","1966","16,73 %"
"1677122726-4277","https://www.datosmundial.com/america/colombia/inflacion.php","1965","7,59 %"
"1677122726-4278","https://www.datosmundial.com/america/colombia/inflacion.php","1964","17,07 %"
"1677122726-4279","https://www.datosmundial.com/america/colombia/inflacion.php","1963","26,36 %"
"1677122726-4280","https://www.datosmundial.com/america/colombia/inflacion.php","1962","4,70 %"
"1677122726-4281","https://www.datosmundial.com/america/colombia/inflacion.php","1961","8,28 %"
"1677122726-4282","https://www.datosmundial.com/america/colombia/inflacion.php","1960","5,81 %"
