web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122922-4283","https://www.datosmundial.com/america/costa-rica/inflacion.php","2021","1,73 %"
"1677122922-4284","https://www.datosmundial.com/america/costa-rica/inflacion.php","2020","0,72 %"
"1677122922-4285","https://www.datosmundial.com/america/costa-rica/inflacion.php","2019","2,10 %"
"1677122922-4286","https://www.datosmundial.com/america/costa-rica/inflacion.php","2018","2,22 %"
"1677122922-4287","https://www.datosmundial.com/america/costa-rica/inflacion.php","2017","1,63 %"
"1677122922-4288","https://www.datosmundial.com/america/costa-rica/inflacion.php","2016","-0,02 %"
"1677122922-4289","https://www.datosmundial.com/america/costa-rica/inflacion.php","2015","0,80 %"
"1677122922-4290","https://www.datosmundial.com/america/costa-rica/inflacion.php","2014","4,52 %"
"1677122922-4291","https://www.datosmundial.com/america/costa-rica/inflacion.php","2013","5,23 %"
"1677122922-4292","https://www.datosmundial.com/america/costa-rica/inflacion.php","2012","4,50 %"
"1677122922-4293","https://www.datosmundial.com/america/costa-rica/inflacion.php","2011","4,88 %"
"1677122922-4294","https://www.datosmundial.com/america/costa-rica/inflacion.php","2010","5,66 %"
"1677122922-4295","https://www.datosmundial.com/america/costa-rica/inflacion.php","2009","7,84 %"
"1677122922-4296","https://www.datosmundial.com/america/costa-rica/inflacion.php","2008","13,42 %"
"1677122922-4297","https://www.datosmundial.com/america/costa-rica/inflacion.php","2007","9,36 %"
"1677122922-4298","https://www.datosmundial.com/america/costa-rica/inflacion.php","2006","11,47 %"
"1677122922-4299","https://www.datosmundial.com/america/costa-rica/inflacion.php","2005","13,80 %"
"1677122922-4300","https://www.datosmundial.com/america/costa-rica/inflacion.php","2004","12,31 %"
"1677122922-4301","https://www.datosmundial.com/america/costa-rica/inflacion.php","2003","9,45 %"
"1677122922-4302","https://www.datosmundial.com/america/costa-rica/inflacion.php","2002","9,17 %"
"1677122922-4303","https://www.datosmundial.com/america/costa-rica/inflacion.php","2001","11,26 %"
"1677122922-4304","https://www.datosmundial.com/america/costa-rica/inflacion.php","2000","10,96 %"
"1677122922-4305","https://www.datosmundial.com/america/costa-rica/inflacion.php","1999","10,05 %"
"1677122922-4306","https://www.datosmundial.com/america/costa-rica/inflacion.php","1998","11,66 %"
"1677122922-4307","https://www.datosmundial.com/america/costa-rica/inflacion.php","1997","13,25 %"
"1677122922-4308","https://www.datosmundial.com/america/costa-rica/inflacion.php","1996","17,51 %"
"1677122922-4309","https://www.datosmundial.com/america/costa-rica/inflacion.php","1995","23,19 %"
"1677122922-4310","https://www.datosmundial.com/america/costa-rica/inflacion.php","1994","13,53 %"
"1677122922-4311","https://www.datosmundial.com/america/costa-rica/inflacion.php","1993","9,78 %"
"1677122922-4312","https://www.datosmundial.com/america/costa-rica/inflacion.php","1992","21,79 %"
"1677122922-4313","https://www.datosmundial.com/america/costa-rica/inflacion.php","1991","28,71 %"
"1677122922-4314","https://www.datosmundial.com/america/costa-rica/inflacion.php","1990","19,04 %"
"1677122922-4315","https://www.datosmundial.com/america/costa-rica/inflacion.php","1989","16,51 %"
"1677122922-4316","https://www.datosmundial.com/america/costa-rica/inflacion.php","1988","20,83 %"
"1677122922-4317","https://www.datosmundial.com/america/costa-rica/inflacion.php","1987","16,84 %"
"1677122922-4318","https://www.datosmundial.com/america/costa-rica/inflacion.php","1986","11,84 %"
"1677122922-4319","https://www.datosmundial.com/america/costa-rica/inflacion.php","1985","15,06 %"
"1677122922-4320","https://www.datosmundial.com/america/costa-rica/inflacion.php","1984","11,95 %"
"1677122922-4321","https://www.datosmundial.com/america/costa-rica/inflacion.php","1983","32,62 %"
"1677122922-4322","https://www.datosmundial.com/america/costa-rica/inflacion.php","1982","90,12 %"
"1677122922-4323","https://www.datosmundial.com/america/costa-rica/inflacion.php","1981","37,06 %"
"1677122922-4324","https://www.datosmundial.com/america/costa-rica/inflacion.php","1980","18,14 %"
"1677122922-4325","https://www.datosmundial.com/america/costa-rica/inflacion.php","1979","9,19 %"
"1677122922-4326","https://www.datosmundial.com/america/costa-rica/inflacion.php","1978","6,01 %"
"1677122922-4327","https://www.datosmundial.com/america/costa-rica/inflacion.php","1977","4,19 %"
"1677122922-4328","https://www.datosmundial.com/america/costa-rica/inflacion.php","1976","3,49 %"
"1677122922-4329","https://www.datosmundial.com/america/costa-rica/inflacion.php","1975","17,37 %"
"1677122922-4330","https://www.datosmundial.com/america/costa-rica/inflacion.php","1974","30,07 %"
"1677122922-4331","https://www.datosmundial.com/america/costa-rica/inflacion.php","1973","15,21 %"
"1677122922-4332","https://www.datosmundial.com/america/costa-rica/inflacion.php","1972","4,60 %"
"1677122922-4333","https://www.datosmundial.com/america/costa-rica/inflacion.php","1971","3,08 %"
