web-scraper-order,web-scraper-start-url,Año,inflacion
"1677123442-4407","https://www.datosmundial.com/america/el-salvador/inflacion.php","2021","3,47 %"
"1677123442-4408","https://www.datosmundial.com/america/el-salvador/inflacion.php","2020","-0,37 %"
"1677123442-4409","https://www.datosmundial.com/america/el-salvador/inflacion.php","2019","0,08 %"
"1677123442-4410","https://www.datosmundial.com/america/el-salvador/inflacion.php","2018","1,09 %"
"1677123442-4411","https://www.datosmundial.com/america/el-salvador/inflacion.php","2017","1,01 %"
"1677123442-4412","https://www.datosmundial.com/america/el-salvador/inflacion.php","2016","0,60 %"
"1677123442-4413","https://www.datosmundial.com/america/el-salvador/inflacion.php","2015","-0,73 %"
"1677123442-4414","https://www.datosmundial.com/america/el-salvador/inflacion.php","2014","1,14 %"
"1677123442-4415","https://www.datosmundial.com/america/el-salvador/inflacion.php","2013","0,76 %"
"1677123442-4416","https://www.datosmundial.com/america/el-salvador/inflacion.php","2012","1,73 %"
"1677123442-4417","https://www.datosmundial.com/america/el-salvador/inflacion.php","2011","5,13 %"
"1677123442-4418","https://www.datosmundial.com/america/el-salvador/inflacion.php","2010","1,18 %"
"1677123442-4419","https://www.datosmundial.com/america/el-salvador/inflacion.php","2009","1,06 %"
"1677123442-4420","https://www.datosmundial.com/america/el-salvador/inflacion.php","2008","6,71 %"
"1677123442-4421","https://www.datosmundial.com/america/el-salvador/inflacion.php","2007","4,58 %"
"1677123442-4422","https://www.datosmundial.com/america/el-salvador/inflacion.php","2006","4,04 %"
"1677123442-4423","https://www.datosmundial.com/america/el-salvador/inflacion.php","2005","4,69 %"
"1677123442-4424","https://www.datosmundial.com/america/el-salvador/inflacion.php","2004","4,45 %"
"1677123442-4425","https://www.datosmundial.com/america/el-salvador/inflacion.php","2003","2,12 %"
"1677123442-4426","https://www.datosmundial.com/america/el-salvador/inflacion.php","2002","1,87 %"
"1677123442-4427","https://www.datosmundial.com/america/el-salvador/inflacion.php","2001","3,75 %"
"1677123442-4428","https://www.datosmundial.com/america/el-salvador/inflacion.php","2000","2,27 %"
"1677123442-4429","https://www.datosmundial.com/america/el-salvador/inflacion.php","1999","0,51 %"
"1677123442-4430","https://www.datosmundial.com/america/el-salvador/inflacion.php","1998","2,55 %"
"1677123442-4431","https://www.datosmundial.com/america/el-salvador/inflacion.php","1997","4,49 %"
"1677123442-4432","https://www.datosmundial.com/america/el-salvador/inflacion.php","1996","9,79 %"
"1677123442-4433","https://www.datosmundial.com/america/el-salvador/inflacion.php","1995","10,03 %"
"1677123442-4434","https://www.datosmundial.com/america/el-salvador/inflacion.php","1994","10,59 %"
"1677123442-4435","https://www.datosmundial.com/america/el-salvador/inflacion.php","1993","18,51 %"
"1677123442-4436","https://www.datosmundial.com/america/el-salvador/inflacion.php","1992","11,21 %"
"1677123442-4437","https://www.datosmundial.com/america/el-salvador/inflacion.php","1991","14,40 %"
"1677123442-4438","https://www.datosmundial.com/america/el-salvador/inflacion.php","1990","24,00 %"
"1677123442-4439","https://www.datosmundial.com/america/el-salvador/inflacion.php","1989","17,63 %"
"1677123442-4440","https://www.datosmundial.com/america/el-salvador/inflacion.php","1988","19,76 %"
"1677123442-4441","https://www.datosmundial.com/america/el-salvador/inflacion.php","1987","24,86 %"
"1677123442-4442","https://www.datosmundial.com/america/el-salvador/inflacion.php","1986","31,94 %"
"1677123442-4443","https://www.datosmundial.com/america/el-salvador/inflacion.php","1985","22,33 %"
"1677123442-4444","https://www.datosmundial.com/america/el-salvador/inflacion.php","1984","11,51 %"
"1677123442-4445","https://www.datosmundial.com/america/el-salvador/inflacion.php","1983","13,31 %"
"1677123442-4446","https://www.datosmundial.com/america/el-salvador/inflacion.php","1982","11,73 %"
"1677123442-4447","https://www.datosmundial.com/america/el-salvador/inflacion.php","1981","14,80 %"
"1677123442-4448","https://www.datosmundial.com/america/el-salvador/inflacion.php","1980","17,37 %"
"1677123442-4449","https://www.datosmundial.com/america/el-salvador/inflacion.php","1979","14,06 %"
"1677123442-4450","https://www.datosmundial.com/america/el-salvador/inflacion.php","1978","13,28 %"
"1677123442-4451","https://www.datosmundial.com/america/el-salvador/inflacion.php","1977","11,82 %"
"1677123442-4452","https://www.datosmundial.com/america/el-salvador/inflacion.php","1976","7,03 %"
"1677123442-4453","https://www.datosmundial.com/america/el-salvador/inflacion.php","1975","19,09 %"
"1677123442-4454","https://www.datosmundial.com/america/el-salvador/inflacion.php","1974","16,90 %"
"1677123442-4455","https://www.datosmundial.com/america/el-salvador/inflacion.php","1973","6,39 %"
"1677123442-4456","https://www.datosmundial.com/america/el-salvador/inflacion.php","1972","1,54 %"
"1677123442-4457","https://www.datosmundial.com/america/el-salvador/inflacion.php","1971","0,45 %"
"1677123442-4458","https://www.datosmundial.com/america/el-salvador/inflacion.php","1970","2,82 %"
"1677123442-4459","https://www.datosmundial.com/america/el-salvador/inflacion.php","1969","-0,19 %"
"1677123442-4460","https://www.datosmundial.com/america/el-salvador/inflacion.php","1968","2,54 %"
"1677123442-4461","https://www.datosmundial.com/america/el-salvador/inflacion.php","1967","1,47 %"
"1677123442-4462","https://www.datosmundial.com/america/el-salvador/inflacion.php","1966","-1,19 %"
"1677123442-4463","https://www.datosmundial.com/america/el-salvador/inflacion.php","1965","0,46 %"
"1677123442-4464","https://www.datosmundial.com/america/el-salvador/inflacion.php","1964","1,76 %"
"1677123442-4465","https://www.datosmundial.com/america/el-salvador/inflacion.php","1963","1,57 %"
"1677123442-4466","https://www.datosmundial.com/america/el-salvador/inflacion.php","1962","0,10 %"
"1677123442-4467","https://www.datosmundial.com/america/el-salvador/inflacion.php","1961","-2,68 %"
"1677123442-4468","https://www.datosmundial.com/america/el-salvador/inflacion.php","1960","-0,04 %"
