web-scraper-order,web-scraper-start-url,Año,inflacion
"1677123733-4469","https://www.datosmundial.com/america/guatemala/inflacion.php","2021","4,26 %"
"1677123733-4470","https://www.datosmundial.com/america/guatemala/inflacion.php","2020","3,21 %"
"1677123733-4471","https://www.datosmundial.com/america/guatemala/inflacion.php","2019","3,70 %"
"1677123733-4472","https://www.datosmundial.com/america/guatemala/inflacion.php","2018","3,75 %"
"1677123733-4473","https://www.datosmundial.com/america/guatemala/inflacion.php","2017","4,42 %"
"1677123733-4474","https://www.datosmundial.com/america/guatemala/inflacion.php","2016","4,45 %"
"1677123733-4475","https://www.datosmundial.com/america/guatemala/inflacion.php","2015","2,39 %"
"1677123733-4476","https://www.datosmundial.com/america/guatemala/inflacion.php","2014","3,42 %"
"1677123733-4477","https://www.datosmundial.com/america/guatemala/inflacion.php","2013","4,34 %"
"1677123733-4478","https://www.datosmundial.com/america/guatemala/inflacion.php","2012","3,78 %"
"1677123733-4479","https://www.datosmundial.com/america/guatemala/inflacion.php","2011","6,21 %"
"1677123733-4480","https://www.datosmundial.com/america/guatemala/inflacion.php","2010","3,86 %"
"1677123733-4481","https://www.datosmundial.com/america/guatemala/inflacion.php","2009","1,86 %"
"1677123733-4482","https://www.datosmundial.com/america/guatemala/inflacion.php","2008","11,36 %"
"1677123733-4483","https://www.datosmundial.com/america/guatemala/inflacion.php","2007","6,82 %"
"1677123733-4484","https://www.datosmundial.com/america/guatemala/inflacion.php","2006","6,56 %"
"1677123733-4485","https://www.datosmundial.com/america/guatemala/inflacion.php","2005","9,11 %"
"1677123733-4486","https://www.datosmundial.com/america/guatemala/inflacion.php","2004","7,58 %"
"1677123733-4487","https://www.datosmundial.com/america/guatemala/inflacion.php","2003","5,60 %"
"1677123733-4488","https://www.datosmundial.com/america/guatemala/inflacion.php","2002","8,13 %"
"1677123733-4489","https://www.datosmundial.com/america/guatemala/inflacion.php","2001","7,29 %"
"1677123733-4490","https://www.datosmundial.com/america/guatemala/inflacion.php","2000","5,98 %"
"1677123733-4491","https://www.datosmundial.com/america/guatemala/inflacion.php","1999","5,21 %"
"1677123733-4492","https://www.datosmundial.com/america/guatemala/inflacion.php","1998","6,61 %"
"1677123733-4493","https://www.datosmundial.com/america/guatemala/inflacion.php","1997","9,23 %"
"1677123733-4494","https://www.datosmundial.com/america/guatemala/inflacion.php","1996","11,06 %"
"1677123733-4495","https://www.datosmundial.com/america/guatemala/inflacion.php","1995","8,41 %"
"1677123733-4496","https://www.datosmundial.com/america/guatemala/inflacion.php","1994","10,86 %"
"1677123733-4497","https://www.datosmundial.com/america/guatemala/inflacion.php","1993","11,82 %"
"1677123733-4498","https://www.datosmundial.com/america/guatemala/inflacion.php","1992","10,05 %"
"1677123733-4499","https://www.datosmundial.com/america/guatemala/inflacion.php","1991","33,17 %"
"1677123733-4500","https://www.datosmundial.com/america/guatemala/inflacion.php","1990","41,22 %"
"1677123733-4501","https://www.datosmundial.com/america/guatemala/inflacion.php","1989","11,39 %"
"1677123733-4502","https://www.datosmundial.com/america/guatemala/inflacion.php","1988","10,83 %"
"1677123733-4503","https://www.datosmundial.com/america/guatemala/inflacion.php","1987","12,32 %"
"1677123733-4504","https://www.datosmundial.com/america/guatemala/inflacion.php","1986","36,93 %"
"1677123733-4505","https://www.datosmundial.com/america/guatemala/inflacion.php","1985","18,69 %"
