web-scraper-order,web-scraper-start-url,Año,inflacion
"1677123891-4531","https://www.datosmundial.com/america/guayana/inflacion.php","2021","5,03 %"
"1677123891-4532","https://www.datosmundial.com/america/guayana/inflacion.php","2020","0,99 %"
"1677123891-4533","https://www.datosmundial.com/america/guayana/inflacion.php","2019","2,09 %"
"1677123891-4534","https://www.datosmundial.com/america/guayana/inflacion.php","2018","1,28 %"
"1677123891-4535","https://www.datosmundial.com/america/guayana/inflacion.php","2017","1,90 %"
"1677123891-4536","https://www.datosmundial.com/america/guayana/inflacion.php","2016","0,84 %"
"1677123891-4537","https://www.datosmundial.com/america/guayana/inflacion.php","2015","-1,00 %"
"1677123891-4538","https://www.datosmundial.com/america/guayana/inflacion.php","2014","0,85 %"
"1677123891-4539","https://www.datosmundial.com/america/guayana/inflacion.php","2013","1,90 %"
"1677123891-4540","https://www.datosmundial.com/america/guayana/inflacion.php","2012","2,39 %"
"1677123891-4541","https://www.datosmundial.com/america/guayana/inflacion.php","2011","4,98 %"
"1677123891-4542","https://www.datosmundial.com/america/guayana/inflacion.php","2010","3,73 %"
"1677123891-4543","https://www.datosmundial.com/america/guayana/inflacion.php","2009","2,95 %"
"1677123891-4544","https://www.datosmundial.com/america/guayana/inflacion.php","2008","8,10 %"
"1677123891-4545","https://www.datosmundial.com/america/guayana/inflacion.php","2007","12,20 %"
"1677123891-4546","https://www.datosmundial.com/america/guayana/inflacion.php","2006","6,68 %"
"1677123891-4547","https://www.datosmundial.com/america/guayana/inflacion.php","2005","6,93 %"
"1677123891-4548","https://www.datosmundial.com/america/guayana/inflacion.php","2004","4,67 %"
"1677123891-4549","https://www.datosmundial.com/america/guayana/inflacion.php","2003","5,98 %"
"1677123891-4550","https://www.datosmundial.com/america/guayana/inflacion.php","2002","5,34 %"
"1677123891-4551","https://www.datosmundial.com/america/guayana/inflacion.php","2001","2,63 %"
"1677123891-4552","https://www.datosmundial.com/america/guayana/inflacion.php","2000","6,15 %"
"1677123891-4553","https://www.datosmundial.com/america/guayana/inflacion.php","1999","7,54 %"
"1677123891-4554","https://www.datosmundial.com/america/guayana/inflacion.php","1998","4,59 %"
"1677123891-4555","https://www.datosmundial.com/america/guayana/inflacion.php","1997","3,56 %"
"1677123891-4556","https://www.datosmundial.com/america/guayana/inflacion.php","1996","7,09 %"
"1677123891-4557","https://www.datosmundial.com/america/guayana/inflacion.php","1995","12,21 %"
"1677123891-4552","https://www.datosmundial.com/america/guayana/inflacion.php","1990","11,15 %"
