web-scraper-order,web-scraper-start-url,Año,inflacion
"1677124438-4620","https://www.datosmundial.com/america/honduras/inflacion.php","2021","4,48 %"
"1677124438-4621","https://www.datosmundial.com/america/honduras/inflacion.php","2020","3,47 %"
"1677124438-4622","https://www.datosmundial.com/america/honduras/inflacion.php","2019","4,37 %"
"1677124438-4623","https://www.datosmundial.com/america/honduras/inflacion.php","2018","4,35 %"
"1677124438-4624","https://www.datosmundial.com/america/honduras/inflacion.php","2017","3,93 %"
"1677124438-4625","https://www.datosmundial.com/america/honduras/inflacion.php","2016","2,72 %"
"1677124438-4626","https://www.datosmundial.com/america/honduras/inflacion.php","2015","3,16 %"
"1677124438-4627","https://www.datosmundial.com/america/honduras/inflacion.php","2014","6,13 %"
"1677124438-4628","https://www.datosmundial.com/america/honduras/inflacion.php","2013","5,16 %"
"1677124438-4629","https://www.datosmundial.com/america/honduras/inflacion.php","2012","5,20 %"
"1677124438-4630","https://www.datosmundial.com/america/honduras/inflacion.php","2011","6,76 %"
"1677124438-4631","https://www.datosmundial.com/america/honduras/inflacion.php","2010","4,70 %"
"1677124438-4632","https://www.datosmundial.com/america/honduras/inflacion.php","2009","5,50 %"
"1677124438-4633","https://www.datosmundial.com/america/honduras/inflacion.php","2008","11,40 %"
"1677124438-4634","https://www.datosmundial.com/america/honduras/inflacion.php","2007","6,94 %"
"1677124438-4635","https://www.datosmundial.com/america/honduras/inflacion.php","2006","5,58 %"
"1677124438-4636","https://www.datosmundial.com/america/honduras/inflacion.php","2005","8,81 %"
"1677124438-4637","https://www.datosmundial.com/america/honduras/inflacion.php","2004","8,11 %"
"1677124438-4638","https://www.datosmundial.com/america/honduras/inflacion.php","2003","7,67 %"
"1677124438-4639","https://www.datosmundial.com/america/honduras/inflacion.php","2002","7,69 %"
"1677124438-4640","https://www.datosmundial.com/america/honduras/inflacion.php","2001","9,67 %"
"1677124438-4641","https://www.datosmundial.com/america/honduras/inflacion.php","2000","11,05 %"
"1677124438-4642","https://www.datosmundial.com/america/honduras/inflacion.php","1999","11,66 %"
"1677124438-4643","https://www.datosmundial.com/america/honduras/inflacion.php","1998","13,67 %"
"1677124438-4644","https://www.datosmundial.com/america/honduras/inflacion.php","1997","20,20 %"
"1677124438-4645","https://www.datosmundial.com/america/honduras/inflacion.php","1996","23,84 %"
"1677124438-4646","https://www.datosmundial.com/america/honduras/inflacion.php","1995","29,46 %"
"1677124438-4647","https://www.datosmundial.com/america/honduras/inflacion.php","1994","21,73 %"
"1677124438-4648","https://www.datosmundial.com/america/honduras/inflacion.php","1993","10,75 %"
"1677124438-4649","https://www.datosmundial.com/america/honduras/inflacion.php","1992","8,76 %"
"1677124438-4650","https://www.datosmundial.com/america/honduras/inflacion.php","1991","33,97 %"
"1677124438-4651","https://www.datosmundial.com/america/honduras/inflacion.php","1990","23,32 %"
"1677124438-4652","https://www.datosmundial.com/america/honduras/inflacion.php","1989","9,85 %"
"1677124438-4653","https://www.datosmundial.com/america/honduras/inflacion.php","1988","4,49 %"
"1677124438-4654","https://www.datosmundial.com/america/honduras/inflacion.php","1987","2,49 %"
"1677124438-4655","https://www.datosmundial.com/america/honduras/inflacion.php","1986","4,35 %"
"1677124438-4656","https://www.datosmundial.com/america/honduras/inflacion.php","1985","3,36 %"
"1677124438-4657","https://www.datosmundial.com/america/honduras/inflacion.php","1984","4,73 %"
"1677124438-4658","https://www.datosmundial.com/america/honduras/inflacion.php","1983","8,25 %"
"1677124438-4659","https://www.datosmundial.com/america/honduras/inflacion.php","1982","8,98 %"
"1677124438-4660","https://www.datosmundial.com/america/honduras/inflacion.php","1981","9,41 %"
"1677124438-4661","https://www.datosmundial.com/america/honduras/inflacion.php","1980","18,06 %"
"1677124438-4662","https://www.datosmundial.com/america/honduras/inflacion.php","1979","12,14 %"
"1677124438-4663","https://www.datosmundial.com/america/honduras/inflacion.php","1978","5,75 %"
"1677124438-4664","https://www.datosmundial.com/america/honduras/inflacion.php","1977","8,43 %"
"1677124438-4665","https://www.datosmundial.com/america/honduras/inflacion.php","1976","4,88 %"
"1677124438-4666","https://www.datosmundial.com/america/honduras/inflacion.php","1975","8,38 %"
"1677124438-4667","https://www.datosmundial.com/america/honduras/inflacion.php","1974","12,85 %"
"1677124438-4668","https://www.datosmundial.com/america/honduras/inflacion.php","1973","5,19 %"
"1677124438-4669","https://www.datosmundial.com/america/honduras/inflacion.php","1972","3,61 %"
"1677124438-4670","https://www.datosmundial.com/america/honduras/inflacion.php","1971","2,22 %"
"1677124438-4671","https://www.datosmundial.com/america/honduras/inflacion.php","1970","2,88 %"
"1677124438-4672","https://www.datosmundial.com/america/honduras/inflacion.php","1969","1,26 %"
"1677124438-4673","https://www.datosmundial.com/america/honduras/inflacion.php","1968","1,86 %"
"1677124438-4674","https://www.datosmundial.com/america/honduras/inflacion.php","1967","2,09 %"
"1677124438-4675","https://www.datosmundial.com/america/honduras/inflacion.php","1966","1,78 %"
"1677124438-4676","https://www.datosmundial.com/america/honduras/inflacion.php","1965","3,19 %"
"1677124438-4677","https://www.datosmundial.com/america/honduras/inflacion.php","1964","4,47 %"
"1677124438-4678","https://www.datosmundial.com/america/honduras/inflacion.php","1963","3,08 %"
"1677124438-4679","https://www.datosmundial.com/america/honduras/inflacion.php","1962","1,09 %"
"1677124438-4680","https://www.datosmundial.com/america/honduras/inflacion.php","1961","1,56 %"
"1677124438-4681","https://www.datosmundial.com/america/honduras/inflacion.php","1960","-1,75 %"
