web-scraper-order,web-scraper-start-url,Año,inflacion
"1677126282-5034","https://www.datosmundial.com/america/usa/inflacion.php","2021","4,70 %"
"1677126282-5035","https://www.datosmundial.com/america/usa/inflacion.php","2020","1,23 %"
"1677126282-5036","https://www.datosmundial.com/america/usa/inflacion.php","2019","1,81 %"
"1677126282-5037","https://www.datosmundial.com/america/usa/inflacion.php","2018","2,44 %"
"1677126282-5038","https://www.datosmundial.com/america/usa/inflacion.php","2017","2,13 %"
"1677126282-5039","https://www.datosmundial.com/america/usa/inflacion.php","2016","1,26 %"
"1677126282-5040","https://www.datosmundial.com/america/usa/inflacion.php","2015","0,12 %"
"1677126282-5041","https://www.datosmundial.com/america/usa/inflacion.php","2014","1,62 %"
"1677126282-5042","https://www.datosmundial.com/america/usa/inflacion.php","2013","1,46 %"
"1677126282-5043","https://www.datosmundial.com/america/usa/inflacion.php","2012","2,07 %"
"1677126282-5044","https://www.datosmundial.com/america/usa/inflacion.php","2011","3,16 %"
"1677126282-5045","https://www.datosmundial.com/america/usa/inflacion.php","2010","1,64 %"
"1677126282-5046","https://www.datosmundial.com/america/usa/inflacion.php","2009","-0,36 %"
"1677126282-5047","https://www.datosmundial.com/america/usa/inflacion.php","2008","3,84 %"
"1677126282-5048","https://www.datosmundial.com/america/usa/inflacion.php","2007","2,85 %"
"1677126282-5049","https://www.datosmundial.com/america/usa/inflacion.php","2006","3,23 %"
"1677126282-5050","https://www.datosmundial.com/america/usa/inflacion.php","2005","3,39 %"
"1677126282-5051","https://www.datosmundial.com/america/usa/inflacion.php","2004","2,68 %"
"1677126282-5052","https://www.datosmundial.com/america/usa/inflacion.php","2003","2,27 %"
"1677126282-5053","https://www.datosmundial.com/america/usa/inflacion.php","2002","1,59 %"
"1677126282-5054","https://www.datosmundial.com/america/usa/inflacion.php","2001","2,83 %"
"1677126282-5055","https://www.datosmundial.com/america/usa/inflacion.php","2000","3,38 %"
"1677126282-5056","https://www.datosmundial.com/america/usa/inflacion.php","1999","2,19 %"
"1677126282-5057","https://www.datosmundial.com/america/usa/inflacion.php","1998","1,55 %"
"1677126282-5058","https://www.datosmundial.com/america/usa/inflacion.php","1997","2,34 %"
"1677126282-5059","https://www.datosmundial.com/america/usa/inflacion.php","1996","2,93 %"
"1677126282-5060","https://www.datosmundial.com/america/usa/inflacion.php","1995","2,81 %"
"1677126282-5061","https://www.datosmundial.com/america/usa/inflacion.php","1994","2,61 %"
"1677126282-5062","https://www.datosmundial.com/america/usa/inflacion.php","1993","2,95 %"
"1677126282-5063","https://www.datosmundial.com/america/usa/inflacion.php","1992","3,03 %"
"1677126282-5064","https://www.datosmundial.com/america/usa/inflacion.php","1991","4,23 %"
"1677126282-5065","https://www.datosmundial.com/america/usa/inflacion.php","1990","5,40 %"
"1677126282-5066","https://www.datosmundial.com/america/usa/inflacion.php","1989","4,83 %"
"1677126282-5067","https://www.datosmundial.com/america/usa/inflacion.php","1988","4,08 %"
"1677126282-5068","https://www.datosmundial.com/america/usa/inflacion.php","1987","3,66 %"
"1677126282-5069","https://www.datosmundial.com/america/usa/inflacion.php","1986","1,90 %"
"1677126282-5070","https://www.datosmundial.com/america/usa/inflacion.php","1985","3,55 %"
"1677126282-5071","https://www.datosmundial.com/america/usa/inflacion.php","1984","4,30 %"
"1677126282-5072","https://www.datosmundial.com/america/usa/inflacion.php","1983","3,21 %"
"1677126282-5073","https://www.datosmundial.com/america/usa/inflacion.php","1982","6,13 %"
"1677126282-5074","https://www.datosmundial.com/america/usa/inflacion.php","1981","10,33 %"
"1677126282-5075","https://www.datosmundial.com/america/usa/inflacion.php","1980","13,55 %"
"1677126282-5076","https://www.datosmundial.com/america/usa/inflacion.php","1979","11,25 %"
"1677126282-5077","https://www.datosmundial.com/america/usa/inflacion.php","1978","7,63 %"
"1677126282-5078","https://www.datosmundial.com/america/usa/inflacion.php","1977","6,50 %"
"1677126282-5079","https://www.datosmundial.com/america/usa/inflacion.php","1976","5,74 %"
"1677126282-5080","https://www.datosmundial.com/america/usa/inflacion.php","1975","9,14 %"
"1677126282-5081","https://www.datosmundial.com/america/usa/inflacion.php","1974","11,05 %"
"1677126282-5082","https://www.datosmundial.com/america/usa/inflacion.php","1973","6,18 %"
"1677126282-5083","https://www.datosmundial.com/america/usa/inflacion.php","1972","3,27 %"
"1677126282-5084","https://www.datosmundial.com/america/usa/inflacion.php","1971","4,29 %"
"1677126282-5085","https://www.datosmundial.com/america/usa/inflacion.php","1970","5,84 %"
"1677126282-5086","https://www.datosmundial.com/america/usa/inflacion.php","1969","5,46 %"
"1677126282-5087","https://www.datosmundial.com/america/usa/inflacion.php","1968","4,27 %"
"1677126282-5088","https://www.datosmundial.com/america/usa/inflacion.php","1967","2,77 %"
"1677126282-5089","https://www.datosmundial.com/america/usa/inflacion.php","1966","3,02 %"
"1677126282-5090","https://www.datosmundial.com/america/usa/inflacion.php","1965","1,59 %"
"1677126282-5091","https://www.datosmundial.com/america/usa/inflacion.php","1964","1,28 %"
"1677126282-5092","https://www.datosmundial.com/america/usa/inflacion.php","1963","1,24 %"
"1677126282-5093","https://www.datosmundial.com/america/usa/inflacion.php","1962","1,20 %"
"1677126282-5094","https://www.datosmundial.com/america/usa/inflacion.php","1961","1,07 %"
"1677126282-5095","https://www.datosmundial.com/america/usa/inflacion.php","1960","1,46 %"
