web-scraper-order,web-scraper-start-url,Año,inflacion
"1677126708-5158","https://www.datosmundial.com/america/venezuela/inflacion.php","2020","2.959,80 %"
"1677126708-5159","https://www.datosmundial.com/america/venezuela/inflacion.php","2019","9.585,50 %"
"1677126708-5160","https://www.datosmundial.com/america/venezuela/inflacion.php","2018","130.060,20 %"
"1677126708-5161","https://www.datosmundial.com/america/venezuela/inflacion.php","2017","274,40 %"
"1677126708-5162","https://www.datosmundial.com/america/venezuela/inflacion.php","2016","254,95 %"
"1677126708-5163","https://www.datosmundial.com/america/venezuela/inflacion.php","2015","121,74 %"
"1677126708-5164","https://www.datosmundial.com/america/venezuela/inflacion.php","2014","62,17 %"
"1677126708-5165","https://www.datosmundial.com/america/venezuela/inflacion.php","2013","40,64 %"
"1677126708-5166","https://www.datosmundial.com/america/venezuela/inflacion.php","2012","21,07 %"
"1677126708-5167","https://www.datosmundial.com/america/venezuela/inflacion.php","2011","26,09 %"
"1677126708-5168","https://www.datosmundial.com/america/venezuela/inflacion.php","2010","28,19 %"
"1677126708-5169","https://www.datosmundial.com/america/venezuela/inflacion.php","2009","27,08 %"
"1677126708-5170","https://www.datosmundial.com/america/venezuela/inflacion.php","2008","31,44 %"
"1677126708-5171","https://www.datosmundial.com/america/venezuela/inflacion.php","2007","18,70 %"
"1677126708-5172","https://www.datosmundial.com/america/venezuela/inflacion.php","2006","13,66 %"
"1677126708-5173","https://www.datosmundial.com/america/venezuela/inflacion.php","2005","15,95 %"
"1677126708-5174","https://www.datosmundial.com/america/venezuela/inflacion.php","2004","21,75 %"
"1677126708-5175","https://www.datosmundial.com/america/venezuela/inflacion.php","2003","31,09 %"
"1677126708-5176","https://www.datosmundial.com/america/venezuela/inflacion.php","2002","22,43 %"
"1677126708-5177","https://www.datosmundial.com/america/venezuela/inflacion.php","2001","12,53 %"
"1677126708-5178","https://www.datosmundial.com/america/venezuela/inflacion.php","2000","16,20 %"
"1677126708-5179","https://www.datosmundial.com/america/venezuela/inflacion.php","1999","23,57 %"
"1677126708-5180","https://www.datosmundial.com/america/venezuela/inflacion.php","1998","35,78 %"
"1677126708-5181","https://www.datosmundial.com/america/venezuela/inflacion.php","1997","50,04 %"
"1677126708-5182","https://www.datosmundial.com/america/venezuela/inflacion.php","1996","99,88 %"
"1677126708-5183","https://www.datosmundial.com/america/venezuela/inflacion.php","1995","59,92 %"
"1677126708-5184","https://www.datosmundial.com/america/venezuela/inflacion.php","1994","60,82 %"
"1677126708-5185","https://www.datosmundial.com/america/venezuela/inflacion.php","1993","38,12 %"
"1677126708-5186","https://www.datosmundial.com/america/venezuela/inflacion.php","1992","31,42 %"
"1677126708-5187","https://www.datosmundial.com/america/venezuela/inflacion.php","1991","34,21 %"
"1677126708-5188","https://www.datosmundial.com/america/venezuela/inflacion.php","1990","40,66 %"
"1677126708-5189","https://www.datosmundial.com/america/venezuela/inflacion.php","1989","84,46 %"
"1677126708-5190","https://www.datosmundial.com/america/venezuela/inflacion.php","1988","29,47 %"
"1677126708-5191","https://www.datosmundial.com/america/venezuela/inflacion.php","1987","28,14 %"
"1677126708-5192","https://www.datosmundial.com/america/venezuela/inflacion.php","1986","11,54 %"
"1677126708-5193","https://www.datosmundial.com/america/venezuela/inflacion.php","1985","11,38 %"
"1677126708-5194","https://www.datosmundial.com/america/venezuela/inflacion.php","1984","11,57 %"
"1677126708-5195","https://www.datosmundial.com/america/venezuela/inflacion.php","1983","6,34 %"
"1677126708-5196","https://www.datosmundial.com/america/venezuela/inflacion.php","1982","9,66 %"
"1677126708-5197","https://www.datosmundial.com/america/venezuela/inflacion.php","1981","16,05 %"
"1677126708-5198","https://www.datosmundial.com/america/venezuela/inflacion.php","1980","21,54 %"
