web-scraper-order,web-scraper-start-url,Año,inflacion
"1677121240-3855","https://www.datosmundial.com/america/argentina/inflacion.php","2022","94,80 %"
"1677121240-3856","https://www.datosmundial.com/america/argentina/inflacion.php","2021","48,41 %"
"1677121240-3857","https://www.datosmundial.com/america/argentina/inflacion.php","2020","42,02 %"
"1677121240-3858","https://www.datosmundial.com/america/argentina/inflacion.php","2019","53,55 %"
"1677121240-3859","https://www.datosmundial.com/america/argentina/inflacion.php","2018","34,28 %"
"1677121240-3860","https://www.datosmundial.com/america/argentina/inflacion.php","2017","25,68 %"
"1677121240-3861","https://www.datosmundial.com/america/argentina/inflacion.php","2016","26,50 %"
"1677121240-3861","https://www.datosmundial.com/america/argentina/inflacion.php","2015","11,9 %"
"1677121240-3862","https://www.datosmundial.com/america/argentina/inflacion.php","2014","23,90 %"
"1677121240-3863","https://www.datosmundial.com/america/argentina/inflacion.php","2013","10,62 %"
"1677121240-3864","https://www.datosmundial.com/america/argentina/inflacion.php","2012","10,03 %"
"1677121240-3865","https://www.datosmundial.com/america/argentina/inflacion.php","2011","9,47 %"
"1677121240-3866","https://www.datosmundial.com/america/argentina/inflacion.php","2010","10,78 %"
"1677121240-3867","https://www.datosmundial.com/america/argentina/inflacion.php","2009","6,28 %"
"1677121240-3868","https://www.datosmundial.com/america/argentina/inflacion.php","2008","8,58 %"
"1677121240-3869","https://www.datosmundial.com/america/argentina/inflacion.php","2007","8,83 %"
"1677121240-3870","https://www.datosmundial.com/america/argentina/inflacion.php","2006","10,90 %"
"1677121240-3871","https://www.datosmundial.com/america/argentina/inflacion.php","2005","9,64 %"
"1677121240-3872","https://www.datosmundial.com/america/argentina/inflacion.php","2004","4,42 %"
"1677121240-3873","https://www.datosmundial.com/america/argentina/inflacion.php","2003","13,44 %"
"1677121240-3874","https://www.datosmundial.com/america/argentina/inflacion.php","2002","25,87 %"
"1677121240-3875","https://www.datosmundial.com/america/argentina/inflacion.php","2001","-1,07 %"
"1677121240-3876","https://www.datosmundial.com/america/argentina/inflacion.php","2000","-0,94 %"
"1677121240-3877","https://www.datosmundial.com/america/argentina/inflacion.php","1999","-1,17 %"
"1677121240-3878","https://www.datosmundial.com/america/argentina/inflacion.php","1998","0,92 %"
"1677121240-3879","https://www.datosmundial.com/america/argentina/inflacion.php","1997","0,53 %"
"1677121240-3880","https://www.datosmundial.com/america/argentina/inflacion.php","1996","0,16 %"
"1677121240-3881","https://www.datosmundial.com/america/argentina/inflacion.php","1995","3,38 %"
"1677121240-3882","https://www.datosmundial.com/america/argentina/inflacion.php","1994","4,18 %"
"1677121240-3883","https://www.datosmundial.com/america/argentina/inflacion.php","1993","10,61 %"
"1677121240-3884","https://www.datosmundial.com/america/argentina/inflacion.php","1992","24,90 %"
"1677121240-3885","https://www.datosmundial.com/america/argentina/inflacion.php","1991","171,67 %"
"1677121240-3886","https://www.datosmundial.com/america/argentina/inflacion.php","1990","2.313,96 %"
"1677121240-3887","https://www.datosmundial.com/america/argentina/inflacion.php","1989","3.079,81 %"
"1677121240-3888","https://www.datosmundial.com/america/argentina/inflacion.php","1988","342,96 %"
"1677121240-3889","https://www.datosmundial.com/america/argentina/inflacion.php","1987","131,33 %"
"1677121240-3890","https://www.datosmundial.com/america/argentina/inflacion.php","1986","90,10 %"
"1677121240-3891","https://www.datosmundial.com/america/argentina/inflacion.php","1985","672,18 %"
"1677121240-3892","https://www.datosmundial.com/america/argentina/inflacion.php","1984","626,72 %"
"1677121240-3893","https://www.datosmundial.com/america/argentina/inflacion.php","1983","343,81 %"
"1677121240-3894","https://www.datosmundial.com/america/argentina/inflacion.php","1982","164,78 %"
"1677121240-3895","https://www.datosmundial.com/america/argentina/inflacion.php","1981","104,48 %"
"1677121240-3896","https://www.datosmundial.com/america/argentina/inflacion.php","1980","100,76 %"
