web-scraper-order,web-scraper-start-url,Año,inflacion
"1677121472-3897","https://www.datosmundial.com/america/bahamas/inflacion.php","2021","2,90 %"
"1677121472-3898","https://www.datosmundial.com/america/bahamas/inflacion.php","2020","0,04 %"
"1677121472-3899","https://www.datosmundial.com/america/bahamas/inflacion.php","2019","2,49 %"
"1677121472-3900","https://www.datosmundial.com/america/bahamas/inflacion.php","2018","2,27 %"
"1677121472-3901","https://www.datosmundial.com/america/bahamas/inflacion.php","2017","1,52 %"
"1677121472-3902","https://www.datosmundial.com/america/bahamas/inflacion.php","2016","-0,35 %"
"1677121472-3903","https://www.datosmundial.com/america/bahamas/inflacion.php","2015","1,86 %"
"1677121472-3904","https://www.datosmundial.com/america/bahamas/inflacion.php","2014","1,51 %"
"1677121472-3905","https://www.datosmundial.com/america/bahamas/inflacion.php","2013","0,72 %"
"1677121472-3906","https://www.datosmundial.com/america/bahamas/inflacion.php","2012","1,97 %"
"1677121472-3907","https://www.datosmundial.com/america/bahamas/inflacion.php","2011","3,20 %"
"1677121472-3908","https://www.datosmundial.com/america/bahamas/inflacion.php","2010","1,34 %"
"1677121472-3909","https://www.datosmundial.com/america/bahamas/inflacion.php","2009","2,06 %"
"1677121472-3910","https://www.datosmundial.com/america/bahamas/inflacion.php","2008","4,49 %"
"1677121472-3911","https://www.datosmundial.com/america/bahamas/inflacion.php","2007","2,49 %"
"1677121472-3912","https://www.datosmundial.com/america/bahamas/inflacion.php","2006","2,39 %"
"1677121472-3913","https://www.datosmundial.com/america/bahamas/inflacion.php","2005","1,59 %"
"1677121472-3914","https://www.datosmundial.com/america/bahamas/inflacion.php","2004","0,98 %"
"1677121472-3915","https://www.datosmundial.com/america/bahamas/inflacion.php","2003","3,03 %"
"1677121472-3916","https://www.datosmundial.com/america/bahamas/inflacion.php","2002","2,17 %"
"1677121472-3917","https://www.datosmundial.com/america/bahamas/inflacion.php","2001","2,04 %"
"1677121472-3918","https://www.datosmundial.com/america/bahamas/inflacion.php","2000","1,61 %"
"1677121472-3919","https://www.datosmundial.com/america/bahamas/inflacion.php","1999","1,25 %"
"1677121472-3920","https://www.datosmundial.com/america/bahamas/inflacion.php","1998","1,34 %"
"1677121472-3921","https://www.datosmundial.com/america/bahamas/inflacion.php","1997","0,54 %"
"1677121472-3922","https://www.datosmundial.com/america/bahamas/inflacion.php","1996","1,38 %"
"1677121472-3923","https://www.datosmundial.com/america/bahamas/inflacion.php","1995","2,07 %"
"1677121472-3924","https://www.datosmundial.com/america/bahamas/inflacion.php","1994","1,40 %"
"1677121472-3925","https://www.datosmundial.com/america/bahamas/inflacion.php","1993","2,72 %"
"1677121472-3926","https://www.datosmundial.com/america/bahamas/inflacion.php","1992","5,74 %"
"1677121472-3927","https://www.datosmundial.com/america/bahamas/inflacion.php","1991","7,11 %"
"1677121472-3928","https://www.datosmundial.com/america/bahamas/inflacion.php","1990","4,67 %"
"1677121472-3929","https://www.datosmundial.com/america/bahamas/inflacion.php","1989","5,39 %"
"1677121472-3930","https://www.datosmundial.com/america/bahamas/inflacion.php","1988","4,40 %"
"1677121472-3931","https://www.datosmundial.com/america/bahamas/inflacion.php","1987","5,76 %"
"1677121472-3932","https://www.datosmundial.com/america/bahamas/inflacion.php","1986","5,43 %"
"1677121472-3933","https://www.datosmundial.com/america/bahamas/inflacion.php","1985","4,61 %"
"1677121472-3934","https://www.datosmundial.com/america/bahamas/inflacion.php","1984","3,97 %"
"1677121472-3935","https://www.datosmundial.com/america/bahamas/inflacion.php","1983","4,00 %"
"1677121472-3936","https://www.datosmundial.com/america/bahamas/inflacion.php","1982","6,01 %"
"1677121472-3937","https://www.datosmundial.com/america/bahamas/inflacion.php","1981","11,11 %"
"1677121472-3938","https://www.datosmundial.com/america/bahamas/inflacion.php","1980","12,10 %"
"1677121472-3939","https://www.datosmundial.com/america/bahamas/inflacion.php","1979","9,09 %"
"1677121472-3940","https://www.datosmundial.com/america/bahamas/inflacion.php","1978","6,11 %"
"1677121472-3941","https://www.datosmundial.com/america/bahamas/inflacion.php","1977","3,19 %"
"1677121472-3942","https://www.datosmundial.com/america/bahamas/inflacion.php","1976","4,26 %"
"1677121472-3943","https://www.datosmundial.com/america/bahamas/inflacion.php","1975","10,36 %"
"1677121472-3944","https://www.datosmundial.com/america/bahamas/inflacion.php","1974","13,07 %"
"1677121472-3945","https://www.datosmundial.com/america/bahamas/inflacion.php","1973","5,48 %"
"1677121472-3946","https://www.datosmundial.com/america/bahamas/inflacion.php","1972","6,83 %"
"1677121472-3947","https://www.datosmundial.com/america/bahamas/inflacion.php","1971","4,61 %"
"1677121472-3948","https://www.datosmundial.com/america/bahamas/inflacion.php","1970","6,15 %"
"1677121472-3949","https://www.datosmundial.com/america/bahamas/inflacion.php","1969","8,94 %"
"1677121472-3950","https://www.datosmundial.com/america/bahamas/inflacion.php","1968","4,54 %"
"1677121472-3951","https://www.datosmundial.com/america/bahamas/inflacion.php","1967","5,44 %"
