web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122174-4005","https://www.datosmundial.com/america/bolivia/inflacion.php","2021","0,74 %"
"1677122174-4006","https://www.datosmundial.com/america/bolivia/inflacion.php","2020","0,94 %"
"1677122174-4007","https://www.datosmundial.com/america/bolivia/inflacion.php","2019","1,84 %"
"1677122174-4008","https://www.datosmundial.com/america/bolivia/inflacion.php","2018","2,27 %"
"1677122174-4009","https://www.datosmundial.com/america/bolivia/inflacion.php","2017","2,82 %"
"1677122174-4010","https://www.datosmundial.com/america/bolivia/inflacion.php","2016","3,62 %"
"1677122174-4011","https://www.datosmundial.com/america/bolivia/inflacion.php","2015","4,06 %"
"1677122174-4012","https://www.datosmundial.com/america/bolivia/inflacion.php","2014","5,77 %"
"1677122174-4013","https://www.datosmundial.com/america/bolivia/inflacion.php","2013","5,74 %"
"1677122174-4014","https://www.datosmundial.com/america/bolivia/inflacion.php","2012","4,52 %"
"1677122174-4015","https://www.datosmundial.com/america/bolivia/inflacion.php","2011","9,88 %"
"1677122174-4016","https://www.datosmundial.com/america/bolivia/inflacion.php","2010","2,50 %"
"1677122174-4017","https://www.datosmundial.com/america/bolivia/inflacion.php","2009","3,35 %"
"1677122174-4018","https://www.datosmundial.com/america/bolivia/inflacion.php","2008","14,01 %"
"1677122174-4019","https://www.datosmundial.com/america/bolivia/inflacion.php","2007","8,71 %"
"1677122174-4020","https://www.datosmundial.com/america/bolivia/inflacion.php","2006","4,28 %"
"1677122174-4021","https://www.datosmundial.com/america/bolivia/inflacion.php","2005","5,39 %"
"1677122174-4022","https://www.datosmundial.com/america/bolivia/inflacion.php","2004","4,44 %"
"1677122174-4023","https://www.datosmundial.com/america/bolivia/inflacion.php","2003","3,34 %"
"1677122174-4024","https://www.datosmundial.com/america/bolivia/inflacion.php","2002","0,93 %"
"1677122174-4025","https://www.datosmundial.com/america/bolivia/inflacion.php","2001","1,59 %"
"1677122174-4026","https://www.datosmundial.com/america/bolivia/inflacion.php","2000","4,61 %"
"1677122174-4027","https://www.datosmundial.com/america/bolivia/inflacion.php","1999","2,16 %"
"1677122174-4028","https://www.datosmundial.com/america/bolivia/inflacion.php","1998","7,67 %"
"1677122174-4029","https://www.datosmundial.com/america/bolivia/inflacion.php","1997","4,71 %"
"1677122174-4030","https://www.datosmundial.com/america/bolivia/inflacion.php","1996","12,43 %"
"1677122174-4031","https://www.datosmundial.com/america/bolivia/inflacion.php","1995","10,19 %"
"1677122174-4032","https://www.datosmundial.com/america/bolivia/inflacion.php","1994","7,87 %"
"1677122174-4033","https://www.datosmundial.com/america/bolivia/inflacion.php","1993","8,53 %"
"1677122174-4034","https://www.datosmundial.com/america/bolivia/inflacion.php","1992","12,06 %"
"1677122174-4035","https://www.datosmundial.com/america/bolivia/inflacion.php","1991","21,45 %"
"1677122174-4036","https://www.datosmundial.com/america/bolivia/inflacion.php","1990","17,12 %"
"1677122174-4037","https://www.datosmundial.com/america/bolivia/inflacion.php","1989","15,17 %"
"1677122174-4038","https://www.datosmundial.com/america/bolivia/inflacion.php","1988","16,00 %"
"1677122174-4039","https://www.datosmundial.com/america/bolivia/inflacion.php","1987","14,58 %"
"1677122174-4040","https://www.datosmundial.com/america/bolivia/inflacion.php","1986","276,34 %"
"1677122174-4041","https://www.datosmundial.com/america/bolivia/inflacion.php","1985","11.749,64 %"
"1677122174-4042","https://www.datosmundial.com/america/bolivia/inflacion.php","1984","1.281,35 %"
"1677122174-4043","https://www.datosmundial.com/america/bolivia/inflacion.php","1983","275,59 %"
"1677122174-4044","https://www.datosmundial.com/america/bolivia/inflacion.php","1982","123,54 %"
"1677122174-4045","https://www.datosmundial.com/america/bolivia/inflacion.php","1981","32,13 %"
"1677122174-4046","https://www.datosmundial.com/america/bolivia/inflacion.php","1980","47,24 %"
"1677122174-4047","https://www.datosmundial.com/america/bolivia/inflacion.php","1979","19,72 %"
"1677122174-4048","https://www.datosmundial.com/america/bolivia/inflacion.php","1978","10,36 %"
"1677122174-4049","https://www.datosmundial.com/america/bolivia/inflacion.php","1977","8,11 %"
"1677122174-4050","https://www.datosmundial.com/america/bolivia/inflacion.php","1976","4,49 %"
"1677122174-4051","https://www.datosmundial.com/america/bolivia/inflacion.php","1975","7,98 %"
"1677122174-4052","https://www.datosmundial.com/america/bolivia/inflacion.php","1974","62,84 %"
"1677122174-4053","https://www.datosmundial.com/america/bolivia/inflacion.php","1973","31,49 %"
"1677122174-4054","https://www.datosmundial.com/america/bolivia/inflacion.php","1972","6,51 %"
"1677122174-4055","https://www.datosmundial.com/america/bolivia/inflacion.php","1971","3,67 %"
"1677122174-4056","https://www.datosmundial.com/america/bolivia/inflacion.php","1970","3,96 %"
"1677122174-4057","https://www.datosmundial.com/america/bolivia/inflacion.php","1969","2,21 %"
"1677122174-4058","https://www.datosmundial.com/america/bolivia/inflacion.php","1968","5,47 %"
