web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122277-4067","https://www.datosmundial.com/america/brasil/inflacion.php","2021","8,30 %"
"1677122277-4068","https://www.datosmundial.com/america/brasil/inflacion.php","2020","3,21 %"
"1677122277-4069","https://www.datosmundial.com/america/brasil/inflacion.php","2019","3,73 %"
"1677122277-4070","https://www.datosmundial.com/america/brasil/inflacion.php","2018","3,66 %"
"1677122277-4071","https://www.datosmundial.com/america/brasil/inflacion.php","2017","3,45 %"
"1677122277-4072","https://www.datosmundial.com/america/brasil/inflacion.php","2016","8,74 %"
"1677122277-4073","https://www.datosmundial.com/america/brasil/inflacion.php","2015","9,03 %"
"1677122277-4074","https://www.datosmundial.com/america/brasil/inflacion.php","2014","6,33 %"
"1677122277-4075","https://www.datosmundial.com/america/brasil/inflacion.php","2013","6,20 %"
"1677122277-4076","https://www.datosmundial.com/america/brasil/inflacion.php","2012","5,40 %"
"1677122277-4077","https://www.datosmundial.com/america/brasil/inflacion.php","2011","6,64 %"
"1677122277-4078","https://www.datosmundial.com/america/brasil/inflacion.php","2010","5,04 %"
"1677122277-4079","https://www.datosmundial.com/america/brasil/inflacion.php","2009","4,89 %"
"1677122277-4080","https://www.datosmundial.com/america/brasil/inflacion.php","2008","5,68 %"
"1677122277-4081","https://www.datosmundial.com/america/brasil/inflacion.php","2007","3,64 %"
"1677122277-4082","https://www.datosmundial.com/america/brasil/inflacion.php","2006","4,18 %"
"1677122277-4083","https://www.datosmundial.com/america/brasil/inflacion.php","2005","6,87 %"
"1677122277-4084","https://www.datosmundial.com/america/brasil/inflacion.php","2004","6,60 %"
"1677122277-4085","https://www.datosmundial.com/america/brasil/inflacion.php","2003","14,71 %"
"1677122277-4086","https://www.datosmundial.com/america/brasil/inflacion.php","2002","8,45 %"
"1677122277-4087","https://www.datosmundial.com/america/brasil/inflacion.php","2001","6,84 %"
"1677122277-4088","https://www.datosmundial.com/america/brasil/inflacion.php","2000","7,04 %"
"1677122277-4089","https://www.datosmundial.com/america/brasil/inflacion.php","1999","4,86 %"
"1677122277-4090","https://www.datosmundial.com/america/brasil/inflacion.php","1998","3,20 %"
"1677122277-4091","https://www.datosmundial.com/america/brasil/inflacion.php","1997","6,93 %"
"1677122277-4092","https://www.datosmundial.com/america/brasil/inflacion.php","1996","15,76 %"
"1677122277-4093","https://www.datosmundial.com/america/brasil/inflacion.php","1995","66,01 %"
"1677122277-4094","https://www.datosmundial.com/america/brasil/inflacion.php","1994","2.075,89 %"
"1677122277-4095","https://www.datosmundial.com/america/brasil/inflacion.php","1993","1.927,38 %"
"1677122277-4096","https://www.datosmundial.com/america/brasil/inflacion.php","1992","951,96 %"
"1677122277-4097","https://www.datosmundial.com/america/brasil/inflacion.php","1991","432,79 %"
"1677122277-4098","https://www.datosmundial.com/america/brasil/inflacion.php","1990","2.947,73 %"
"1677122277-4099","https://www.datosmundial.com/america/brasil/inflacion.php","1989","1.430,72 %"
"1677122277-4100","https://www.datosmundial.com/america/brasil/inflacion.php","1988","629,11 %"
"1677122277-4101","https://www.datosmundial.com/america/brasil/inflacion.php","1987","228,34 %"
"1677122277-4102","https://www.datosmundial.com/america/brasil/inflacion.php","1986","147,14 %"
"1677122277-4103","https://www.datosmundial.com/america/brasil/inflacion.php","1985","225,99 %"
"1677122277-4104","https://www.datosmundial.com/america/brasil/inflacion.php","1984","192,12 %"
"1677122277-4105","https://www.datosmundial.com/america/brasil/inflacion.php","1983","135,03 %"
"1677122277-4106","https://www.datosmundial.com/america/brasil/inflacion.php","1982","100,54 %"
"1677122277-4107","https://www.datosmundial.com/america/brasil/inflacion.php","1981","101,73 %"
