web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122449-4108","https://www.datosmundial.com/america/canada/inflacion.php","2021","3,40 %"
"1677122449-4109","https://www.datosmundial.com/america/canada/inflacion.php","2020","0,72 %"
"1677122449-4110","https://www.datosmundial.com/america/canada/inflacion.php","2019","1,95 %"
"1677122449-4111","https://www.datosmundial.com/america/canada/inflacion.php","2018","2,27 %"
"1677122449-4112","https://www.datosmundial.com/america/canada/inflacion.php","2017","1,60 %"
"1677122449-4113","https://www.datosmundial.com/america/canada/inflacion.php","2016","1,43 %"
"1677122449-4114","https://www.datosmundial.com/america/canada/inflacion.php","2015","1,13 %"
"1677122449-4115","https://www.datosmundial.com/america/canada/inflacion.php","2014","1,91 %"
"1677122449-4116","https://www.datosmundial.com/america/canada/inflacion.php","2013","0,94 %"
"1677122449-4117","https://www.datosmundial.com/america/canada/inflacion.php","2012","1,52 %"
"1677122449-4118","https://www.datosmundial.com/america/canada/inflacion.php","2011","2,91 %"
"1677122449-4119","https://www.datosmundial.com/america/canada/inflacion.php","2010","1,78 %"
"1677122449-4120","https://www.datosmundial.com/america/canada/inflacion.php","2009","0,30 %"
"1677122449-4121","https://www.datosmundial.com/america/canada/inflacion.php","2008","2,37 %"
"1677122449-4122","https://www.datosmundial.com/america/canada/inflacion.php","2007","2,14 %"
"1677122449-4123","https://www.datosmundial.com/america/canada/inflacion.php","2006","2,00 %"
"1677122449-4124","https://www.datosmundial.com/america/canada/inflacion.php","2005","2,21 %"
"1677122449-4125","https://www.datosmundial.com/america/canada/inflacion.php","2004","1,86 %"
"1677122449-4126","https://www.datosmundial.com/america/canada/inflacion.php","2003","2,76 %"
"1677122449-4127","https://www.datosmundial.com/america/canada/inflacion.php","2002","2,26 %"
"1677122449-4128","https://www.datosmundial.com/america/canada/inflacion.php","2001","2,53 %"
"1677122449-4129","https://www.datosmundial.com/america/canada/inflacion.php","2000","2,72 %"
"1677122449-4130","https://www.datosmundial.com/america/canada/inflacion.php","1999","1,73 %"
"1677122449-4131","https://www.datosmundial.com/america/canada/inflacion.php","1998","1,00 %"
"1677122449-4132","https://www.datosmundial.com/america/canada/inflacion.php","1997","1,62 %"
"1677122449-4133","https://www.datosmundial.com/america/canada/inflacion.php","1996","1,57 %"
"1677122449-4134","https://www.datosmundial.com/america/canada/inflacion.php","1995","2,15 %"
"1677122449-4135","https://www.datosmundial.com/america/canada/inflacion.php","1994","0,17 %"
"1677122449-4136","https://www.datosmundial.com/america/canada/inflacion.php","1993","1,87 %"
"1677122449-4137","https://www.datosmundial.com/america/canada/inflacion.php","1992","1,49 %"
"1677122449-4138","https://www.datosmundial.com/america/canada/inflacion.php","1991","5,63 %"
"1677122449-4139","https://www.datosmundial.com/america/canada/inflacion.php","1990","4,78 %"
"1677122449-4140","https://www.datosmundial.com/america/canada/inflacion.php","1989","4,98 %"
"1677122449-4141","https://www.datosmundial.com/america/canada/inflacion.php","1988","4,03 %"
"1677122449-4142","https://www.datosmundial.com/america/canada/inflacion.php","1987","4,36 %"
"1677122449-4143","https://www.datosmundial.com/america/canada/inflacion.php","1986","4,19 %"
"1677122449-4144","https://www.datosmundial.com/america/canada/inflacion.php","1985","3,96 %"
"1677122449-4145","https://www.datosmundial.com/america/canada/inflacion.php","1984","4,30 %"
"1677122449-4146","https://www.datosmundial.com/america/canada/inflacion.php","1983","5,86 %"
"1677122449-4147","https://www.datosmundial.com/america/canada/inflacion.php","1982","10,77 %"
"1677122449-4148","https://www.datosmundial.com/america/canada/inflacion.php","1981","12,47 %"
"1677122449-4149","https://www.datosmundial.com/america/canada/inflacion.php","1980","10,13 %"
"1677122449-4150","https://www.datosmundial.com/america/canada/inflacion.php","1979","9,14 %"
"1677122449-4151","https://www.datosmundial.com/america/canada/inflacion.php","1978","8,97 %"
"1677122449-4152","https://www.datosmundial.com/america/canada/inflacion.php","1977","7,98 %"
"1677122449-4153","https://www.datosmundial.com/america/canada/inflacion.php","1976","7,54 %"
"1677122449-4154","https://www.datosmundial.com/america/canada/inflacion.php","1975","10,67 %"
"1677122449-4155","https://www.datosmundial.com/america/canada/inflacion.php","1974","11,00 %"
"1677122449-4156","https://www.datosmundial.com/america/canada/inflacion.php","1973","7,49 %"
"1677122449-4157","https://www.datosmundial.com/america/canada/inflacion.php","1972","4,99 %"
"1677122449-4158","https://www.datosmundial.com/america/canada/inflacion.php","1971","2,70 %"
"1677122449-4159","https://www.datosmundial.com/america/canada/inflacion.php","1970","3,35 %"
"1677122449-4160","https://www.datosmundial.com/america/canada/inflacion.php","1969","4,56 %"
"1677122449-4161","https://www.datosmundial.com/america/canada/inflacion.php","1968","4,06 %"
"1677122449-4162","https://www.datosmundial.com/america/canada/inflacion.php","1967","3,58 %"
"1677122449-4163","https://www.datosmundial.com/america/canada/inflacion.php","1966","3,82 %"
"1677122449-4164","https://www.datosmundial.com/america/canada/inflacion.php","1965","2,33 %"
"1677122449-4165","https://www.datosmundial.com/america/canada/inflacion.php","1964","1,91 %"
"1677122449-4166","https://www.datosmundial.com/america/canada/inflacion.php","1963","1,63 %"
"1677122449-4167","https://www.datosmundial.com/america/canada/inflacion.php","1962","1,06 %"
"1677122449-4168","https://www.datosmundial.com/america/canada/inflacion.php","1961","1,02 %"
"1677122449-4169","https://www.datosmundial.com/america/canada/inflacion.php","1960","1,36 %"
