web-scraper-order,web-scraper-start-url,Año,inflacion
"1677122600-4170","https://www.datosmundial.com/america/chile/inflacion.php","2021","4,52 %"
"1677122600-4171","https://www.datosmundial.com/america/chile/inflacion.php","2020","3,05 %"
"1677122600-4172","https://www.datosmundial.com/america/chile/inflacion.php","2019","2,56 %"
"1677122600-4173","https://www.datosmundial.com/america/chile/inflacion.php","2018","2,43 %"
"1677122600-4174","https://www.datosmundial.com/america/chile/inflacion.php","2017","2,18 %"
"1677122600-4175","https://www.datosmundial.com/america/chile/inflacion.php","2016","3,79 %"
"1677122600-4176","https://www.datosmundial.com/america/chile/inflacion.php","2015","4,35 %"
"1677122600-4177","https://www.datosmundial.com/america/chile/inflacion.php","2014","4,72 %"
"1677122600-4178","https://www.datosmundial.com/america/chile/inflacion.php","2013","1,79 %"
"1677122600-4179","https://www.datosmundial.com/america/chile/inflacion.php","2012","3,01 %"
"1677122600-4180","https://www.datosmundial.com/america/chile/inflacion.php","2011","3,34 %"
"1677122600-4181","https://www.datosmundial.com/america/chile/inflacion.php","2010","1,41 %"
"1677122600-4182","https://www.datosmundial.com/america/chile/inflacion.php","2009","0,35 %"
"1677122600-4183","https://www.datosmundial.com/america/chile/inflacion.php","2008","8,72 %"
"1677122600-4184","https://www.datosmundial.com/america/chile/inflacion.php","2007","4,41 %"
"1677122600-4185","https://www.datosmundial.com/america/chile/inflacion.php","2006","3,39 %"
"1677122600-4186","https://www.datosmundial.com/america/chile/inflacion.php","2005","3,05 %"
"1677122600-4187","https://www.datosmundial.com/america/chile/inflacion.php","2004","1,05 %"
"1677122600-4188","https://www.datosmundial.com/america/chile/inflacion.php","2003","2,81 %"
"1677122600-4189","https://www.datosmundial.com/america/chile/inflacion.php","2002","2,49 %"
"1677122600-4190","https://www.datosmundial.com/america/chile/inflacion.php","2001","3,57 %"
"1677122600-4191","https://www.datosmundial.com/america/chile/inflacion.php","2000","3,84 %"
"1677122600-4192","https://www.datosmundial.com/america/chile/inflacion.php","1999","3,34 %"
"1677122600-4193","https://www.datosmundial.com/america/chile/inflacion.php","1998","5,11 %"
"1677122600-4194","https://www.datosmundial.com/america/chile/inflacion.php","1997","6,13 %"
"1677122600-4195","https://www.datosmundial.com/america/chile/inflacion.php","1996","7,36 %"
"1677122600-4196","https://www.datosmundial.com/america/chile/inflacion.php","1995","8,23 %"
"1677122600-4197","https://www.datosmundial.com/america/chile/inflacion.php","1994","11,44 %"
"1677122600-4198","https://www.datosmundial.com/america/chile/inflacion.php","1993","12,73 %"
"1677122600-4199","https://www.datosmundial.com/america/chile/inflacion.php","1992","15,43 %"
"1677122600-4200","https://www.datosmundial.com/america/chile/inflacion.php","1991","21,78 %"
"1677122600-4201","https://www.datosmundial.com/america/chile/inflacion.php","1990","26,04 %"
"1677122600-4202","https://www.datosmundial.com/america/chile/inflacion.php","1989","17,03 %"
"1677122600-4203","https://www.datosmundial.com/america/chile/inflacion.php","1988","14,68 %"
"1677122600-4204","https://www.datosmundial.com/america/chile/inflacion.php","1987","19,88 %"
"1677122600-4205","https://www.datosmundial.com/america/chile/inflacion.php","1986","19,48 %"
"1677122600-4206","https://www.datosmundial.com/america/chile/inflacion.php","1985","30,70 %"
"1677122600-4207","https://www.datosmundial.com/america/chile/inflacion.php","1984","19,86 %"
"1677122600-4208","https://www.datosmundial.com/america/chile/inflacion.php","1983","27,26 %"
"1677122600-4209","https://www.datosmundial.com/america/chile/inflacion.php","1982","9,94 %"
"1677122600-4210","https://www.datosmundial.com/america/chile/inflacion.php","1981","19,69 %"
"1677122600-4211","https://www.datosmundial.com/america/chile/inflacion.php","1980","35,14 %"
"1677122600-4212","https://www.datosmundial.com/america/chile/inflacion.php","1979","33,39 %"
"1677122600-4213","https://www.datosmundial.com/america/chile/inflacion.php","1978","40,09 %"
"1677122600-4214","https://www.datosmundial.com/america/chile/inflacion.php","1977","91,95 %"
"1677122600-4215","https://www.datosmundial.com/america/chile/inflacion.php","1976","211,92 %"
"1677122600-4216","https://www.datosmundial.com/america/chile/inflacion.php","1975","374,74 %"
"1677122600-4217","https://www.datosmundial.com/america/chile/inflacion.php","1974","504,74 %"
"1677122600-4218","https://www.datosmundial.com/america/chile/inflacion.php","1973","352,81 %"
"1677122600-4219","https://www.datosmundial.com/america/chile/inflacion.php","1972","77,80 %"
"1677122600-4220","https://www.datosmundial.com/america/chile/inflacion.php","1971","20,05 %"
