web-scraper-order,web-scraper-start-url,Año,inflacion
"1677123339-4345","https://www.datosmundial.com/america/ecuador/inflacion.php","2021","0,13 %"
"1677123339-4346","https://www.datosmundial.com/america/ecuador/inflacion.php","2020","-0,34 %"
"1677123339-4347","https://www.datosmundial.com/america/ecuador/inflacion.php","2019","0,27 %"
"1677123339-4348","https://www.datosmundial.com/america/ecuador/inflacion.php","2018","-0,22 %"
"1677123339-4349","https://www.datosmundial.com/america/ecuador/inflacion.php","2017","0,42 %"
"1677123339-4350","https://www.datosmundial.com/america/ecuador/inflacion.php","2016","1,73 %"
"1677123339-4351","https://www.datosmundial.com/america/ecuador/inflacion.php","2015","3,97 %"
"1677123339-4352","https://www.datosmundial.com/america/ecuador/inflacion.php","2014","3,59 %"
"1677123339-4353","https://www.datosmundial.com/america/ecuador/inflacion.php","2013","2,72 %"
"1677123339-4354","https://www.datosmundial.com/america/ecuador/inflacion.php","2012","5,10 %"
"1677123339-4355","https://www.datosmundial.com/america/ecuador/inflacion.php","2011","4,47 %"
"1677123339-4356","https://www.datosmundial.com/america/ecuador/inflacion.php","2010","3,55 %"
"1677123339-4357","https://www.datosmundial.com/america/ecuador/inflacion.php","2009","5,16 %"
"1677123339-4358","https://www.datosmundial.com/america/ecuador/inflacion.php","2008","8,40 %"
"1677123339-4359","https://www.datosmundial.com/america/ecuador/inflacion.php","2007","2,28 %"
"1677123339-4360","https://www.datosmundial.com/america/ecuador/inflacion.php","2006","3,30 %"
"1677123339-4361","https://www.datosmundial.com/america/ecuador/inflacion.php","2005","2,41 %"
"1677123339-4362","https://www.datosmundial.com/america/ecuador/inflacion.php","2004","2,74 %"
"1677123339-4363","https://www.datosmundial.com/america/ecuador/inflacion.php","2003","7,93 %"
"1677123339-4364","https://www.datosmundial.com/america/ecuador/inflacion.php","2002","12,48 %"
"1677123339-4365","https://www.datosmundial.com/america/ecuador/inflacion.php","2001","37,68 %"
"1677123339-4366","https://www.datosmundial.com/america/ecuador/inflacion.php","2000","96,09 %"
"1677123339-4367","https://www.datosmundial.com/america/ecuador/inflacion.php","1999","52,24 %"
"1677123339-4368","https://www.datosmundial.com/america/ecuador/inflacion.php","1998","36,10 %"
"1677123339-4369","https://www.datosmundial.com/america/ecuador/inflacion.php","1997","30,64 %"
"1677123339-4370","https://www.datosmundial.com/america/ecuador/inflacion.php","1996","24,37 %"
"1677123339-4371","https://www.datosmundial.com/america/ecuador/inflacion.php","1995","22,89 %"
"1677123339-4372","https://www.datosmundial.com/america/ecuador/inflacion.php","1994","27,44 %"
"1677123339-4373","https://www.datosmundial.com/america/ecuador/inflacion.php","1993","45,00 %"
"1677123339-4374","https://www.datosmundial.com/america/ecuador/inflacion.php","1992","54,34 %"
"1677123339-4375","https://www.datosmundial.com/america/ecuador/inflacion.php","1991","48,80 %"
"1677123339-4376","https://www.datosmundial.com/america/ecuador/inflacion.php","1990","48,52 %"
"1677123339-4377","https://www.datosmundial.com/america/ecuador/inflacion.php","1989","75,65 %"
"1677123339-4378","https://www.datosmundial.com/america/ecuador/inflacion.php","1988","58,22 %"
"1677123339-4379","https://www.datosmundial.com/america/ecuador/inflacion.php","1987","29,50 %"
"1677123339-4380","https://www.datosmundial.com/america/ecuador/inflacion.php","1986","23,03 %"
"1677123339-4381","https://www.datosmundial.com/america/ecuador/inflacion.php","1985","27,98 %"
"1677123339-4382","https://www.datosmundial.com/america/ecuador/inflacion.php","1984","31,23 %"
"1677123339-4383","https://www.datosmundial.com/america/ecuador/inflacion.php","1983","48,43 %"
"1677123339-4384","https://www.datosmundial.com/america/ecuador/inflacion.php","1982","16,26 %"
"1677123339-4385","https://www.datosmundial.com/america/ecuador/inflacion.php","1981","16,39 %"
"1677123339-4386","https://www.datosmundial.com/america/ecuador/inflacion.php","1980","13,05 %"
"1677123339-4387","https://www.datosmundial.com/america/ecuador/inflacion.php","1979","10,27 %"
"1677123339-4388","https://www.datosmundial.com/america/ecuador/inflacion.php","1978","11,65 %"
"1677123339-4389","https://www.datosmundial.com/america/ecuador/inflacion.php","1977","13,01 %"
"1677123339-4390","https://www.datosmundial.com/america/ecuador/inflacion.php","1976","10,67 %"
"1677123339-4391","https://www.datosmundial.com/america/ecuador/inflacion.php","1975","15,36 %"
"1677123339-4392","https://www.datosmundial.com/america/ecuador/inflacion.php","1974","23,32 %"
"1677123339-4393","https://www.datosmundial.com/america/ecuador/inflacion.php","1973","13,01 %"
"1677123339-4394","https://www.datosmundial.com/america/ecuador/inflacion.php","1972","7,88 %"
"1677123339-4395","https://www.datosmundial.com/america/ecuador/inflacion.php","1971","8,38 %"
"1677123339-4396","https://www.datosmundial.com/america/ecuador/inflacion.php","1970","5,13 %"
"1677123339-4397","https://www.datosmundial.com/america/ecuador/inflacion.php","1969","6,33 %"
"1677123339-4398","https://www.datosmundial.com/america/ecuador/inflacion.php","1968","4,32 %"
"1677123339-4399","https://www.datosmundial.com/america/ecuador/inflacion.php","1967","3,82 %"
"1677123339-4400","https://www.datosmundial.com/america/ecuador/inflacion.php","1966","5,45 %"
"1677123339-4401","https://www.datosmundial.com/america/ecuador/inflacion.php","1965","3,07 %"
"1677123339-4402","https://www.datosmundial.com/america/ecuador/inflacion.php","1964","4,03 %"
"1677123339-4403","https://www.datosmundial.com/america/ecuador/inflacion.php","1963","5,94 %"
"1677123339-4404","https://www.datosmundial.com/america/ecuador/inflacion.php","1962","2,87 %"
"1677123339-4405","https://www.datosmundial.com/america/ecuador/inflacion.php","1961","3,99 %"
"1677123339-4406","https://www.datosmundial.com/america/ecuador/inflacion.php","1960","1,68 %"
