web-scraper-order,web-scraper-start-url,Año,inflacion
"1677124144-4558","https://www.datosmundial.com/america/haiti/inflacion.php","2021","16,84 %"
"1677124144-4559","https://www.datosmundial.com/america/haiti/inflacion.php","2020","22,80 %"
"1677124144-4560","https://www.datosmundial.com/america/haiti/inflacion.php","2019","18,70 %"
"1677124144-4561","https://www.datosmundial.com/america/haiti/inflacion.php","2018","12,48 %"
"1677124144-4562","https://www.datosmundial.com/america/haiti/inflacion.php","2017","10,68 %"
"1677124144-4563","https://www.datosmundial.com/america/haiti/inflacion.php","2016","11,50 %"
"1677124144-4564","https://www.datosmundial.com/america/haiti/inflacion.php","2015","6,73 %"
"1677124144-4565","https://www.datosmundial.com/america/haiti/inflacion.php","2014","3,44 %"
"1677124144-4566","https://www.datosmundial.com/america/haiti/inflacion.php","2013","4,77 %"
"1677124144-4567","https://www.datosmundial.com/america/haiti/inflacion.php","2012","5,02 %"
"1677124144-4568","https://www.datosmundial.com/america/haiti/inflacion.php","2011","6,33 %"
"1677124144-4569","https://www.datosmundial.com/america/haiti/inflacion.php","2010","4,83 %"
"1677124144-4570","https://www.datosmundial.com/america/haiti/inflacion.php","2009","0,39 %"
"1677124144-4571","https://www.datosmundial.com/america/haiti/inflacion.php","2008","15,28 %"
"1677124144-4572","https://www.datosmundial.com/america/haiti/inflacion.php","2007","6,56 %"
"1677124144-4573","https://www.datosmundial.com/america/haiti/inflacion.php","2006","11,35 %"
"1677124144-4574","https://www.datosmundial.com/america/haiti/inflacion.php","2005","13,97 %"
"1677124144-4575","https://www.datosmundial.com/america/haiti/inflacion.php","2004","21,03 %"
"1677124144-4576","https://www.datosmundial.com/america/haiti/inflacion.php","2003","28,70 %"
"1677124144-4577","https://www.datosmundial.com/america/haiti/inflacion.php","2002","7,03 %"
"1677124144-4578","https://www.datosmundial.com/america/haiti/inflacion.php","2001","13,32 %"
"1677124144-4579","https://www.datosmundial.com/america/haiti/inflacion.php","2000","9,33 %"
"1677124144-4580","https://www.datosmundial.com/america/haiti/inflacion.php","1999","3,00 %"
"1677124144-4581","https://www.datosmundial.com/america/haiti/inflacion.php","1998","5,27 %"
"1677124144-4582","https://www.datosmundial.com/america/haiti/inflacion.php","1997","20,56 %"
"1677124144-4583","https://www.datosmundial.com/america/haiti/inflacion.php","1996","20,58 %"
"1677124144-4584","https://www.datosmundial.com/america/haiti/inflacion.php","1995","27,61 %"
"1677124144-4585","https://www.datosmundial.com/america/haiti/inflacion.php","1994","39,33 %"
"1677124144-4586","https://www.datosmundial.com/america/haiti/inflacion.php","1993","29,71 %"
"1677124144-4587","https://www.datosmundial.com/america/haiti/inflacion.php","1992","19,36 %"
"1677124144-4588","https://www.datosmundial.com/america/haiti/inflacion.php","1991","15,42 %"
"1677124144-4589","https://www.datosmundial.com/america/haiti/inflacion.php","1990","21,28 %"
"1677124144-4590","https://www.datosmundial.com/america/haiti/inflacion.php","1989","6,92 %"
"1677124144-4591","https://www.datosmundial.com/america/haiti/inflacion.php","1988","4,11 %"
"1677124144-4592","https://www.datosmundial.com/america/haiti/inflacion.php","1987","-11,45 %"
"1677124144-4593","https://www.datosmundial.com/america/haiti/inflacion.php","1986","3,28 %"
"1677124144-4594","https://www.datosmundial.com/america/haiti/inflacion.php","1985","10,65 %"
"1677124144-4595","https://www.datosmundial.com/america/haiti/inflacion.php","1984","6,40 %"
"1677124144-4596","https://www.datosmundial.com/america/haiti/inflacion.php","1983","10,24 %"
"1677124144-4597","https://www.datosmundial.com/america/haiti/inflacion.php","1982","7,36 %"
"1677124144-4598","https://www.datosmundial.com/america/haiti/inflacion.php","1981","10,86 %"
"1677124144-4599","https://www.datosmundial.com/america/haiti/inflacion.php","1980","17,78 %"
"1677124144-4600","https://www.datosmundial.com/america/haiti/inflacion.php","1979","13,09 %"
"1677124144-4601","https://www.datosmundial.com/america/haiti/inflacion.php","1978","-2,67 %"
"1677124144-4602","https://www.datosmundial.com/america/haiti/inflacion.php","1977","6,49 %"
"1677124144-4603","https://www.datosmundial.com/america/haiti/inflacion.php","1976","7,04 %"
"1677124144-4604","https://www.datosmundial.com/america/haiti/inflacion.php","1975","16,77 %"
"1677124144-4605","https://www.datosmundial.com/america/haiti/inflacion.php","1974","14,95 %"
"1677124144-4606","https://www.datosmundial.com/america/haiti/inflacion.php","1973","22,74 %"
"1677124144-4607","https://www.datosmundial.com/america/haiti/inflacion.php","1972","3,19 %"
"1677124144-4608","https://www.datosmundial.com/america/haiti/inflacion.php","1971","9,58 %"
"1677124144-4609","https://www.datosmundial.com/america/haiti/inflacion.php","1970","1,37 %"
"1677124144-4610","https://www.datosmundial.com/america/haiti/inflacion.php","1969","1,41 %"
"1677124144-4611","https://www.datosmundial.com/america/haiti/inflacion.php","1968","1,32 %"
"1677124144-4612","https://www.datosmundial.com/america/haiti/inflacion.php","1967","-2,94 %"
"1677124144-4613","https://www.datosmundial.com/america/haiti/inflacion.php","1966","8,30 %"
"1677124144-4614","https://www.datosmundial.com/america/haiti/inflacion.php","1965","2,26 %"
"1677124144-4615","https://www.datosmundial.com/america/haiti/inflacion.php","1964","9,16 %"
"1677124144-4616","https://www.datosmundial.com/america/haiti/inflacion.php","1963","4,31 %"
"1677124144-4617","https://www.datosmundial.com/america/haiti/inflacion.php","1962","-0,55 %"
"1677124144-4618","https://www.datosmundial.com/america/haiti/inflacion.php","1961","3,78 %"
"1677124144-4619","https://www.datosmundial.com/america/haiti/inflacion.php","1960","-5,03 %"
