web-scraper-order,web-scraper-start-url,Año,inflacion
"1677124580-4682","https://www.datosmundial.com/america/jamaica/inflacion.php","2021","5,86 %"
"1677124580-4683","https://www.datosmundial.com/america/jamaica/inflacion.php","2020","5,23 %"
"1677124580-4684","https://www.datosmundial.com/america/jamaica/inflacion.php","2019","3,91 %"
"1677124580-4685","https://www.datosmundial.com/america/jamaica/inflacion.php","2018","3,74 %"
"1677124580-4686","https://www.datosmundial.com/america/jamaica/inflacion.php","2017","4,38 %"
"1677124580-4687","https://www.datosmundial.com/america/jamaica/inflacion.php","2016","2,35 %"
"1677124580-4688","https://www.datosmundial.com/america/jamaica/inflacion.php","2015","3,69 %"
"1677124580-4689","https://www.datosmundial.com/america/jamaica/inflacion.php","2014","8,27 %"
"1677124580-4690","https://www.datosmundial.com/america/jamaica/inflacion.php","2013","9,34 %"
"1677124580-4691","https://www.datosmundial.com/america/jamaica/inflacion.php","2012","6,87 %"
"1677124580-4692","https://www.datosmundial.com/america/jamaica/inflacion.php","2011","7,56 %"
"1677124580-4693","https://www.datosmundial.com/america/jamaica/inflacion.php","2010","12,61 %"
"1677124580-4694","https://www.datosmundial.com/america/jamaica/inflacion.php","2009","9,59 %"
"1677124580-4695","https://www.datosmundial.com/america/jamaica/inflacion.php","2008","22,02 %"
"1677124580-4696","https://www.datosmundial.com/america/jamaica/inflacion.php","2007","9,24 %"
"1677124580-4697","https://www.datosmundial.com/america/jamaica/inflacion.php","2006","8,56 %"
"1677124580-4698","https://www.datosmundial.com/america/jamaica/inflacion.php","2005","15,05 %"
"1677124580-4699","https://www.datosmundial.com/america/jamaica/inflacion.php","2004","13,55 %"
"1677124580-4700","https://www.datosmundial.com/america/jamaica/inflacion.php","2003","10,09 %"
"1677124580-4701","https://www.datosmundial.com/america/jamaica/inflacion.php","2002","7,08 %"
"1677124580-4702","https://www.datosmundial.com/america/jamaica/inflacion.php","2001","6,80 %"
"1677124580-4703","https://www.datosmundial.com/america/jamaica/inflacion.php","2000","8,17 %"
"1677124580-4704","https://www.datosmundial.com/america/jamaica/inflacion.php","1999","5,95 %"
"1677124580-4705","https://www.datosmundial.com/america/jamaica/inflacion.php","1998","8,63 %"
"1677124580-4706","https://www.datosmundial.com/america/jamaica/inflacion.php","1997","9,66 %"
"1677124580-4707","https://www.datosmundial.com/america/jamaica/inflacion.php","1996","26,41 %"
"1677124580-4708","https://www.datosmundial.com/america/jamaica/inflacion.php","1995","19,91 %"
"1677124580-4709","https://www.datosmundial.com/america/jamaica/inflacion.php","1994","35,06 %"
"1677124580-4710","https://www.datosmundial.com/america/jamaica/inflacion.php","1993","22,07 %"
"1677124580-4711","https://www.datosmundial.com/america/jamaica/inflacion.php","1992","77,30 %"
"1677124580-4712","https://www.datosmundial.com/america/jamaica/inflacion.php","1991","51,07 %"
"1677124580-4713","https://www.datosmundial.com/america/jamaica/inflacion.php","1990","21,96 %"
"1677124580-4714","https://www.datosmundial.com/america/jamaica/inflacion.php","1989","14,33 %"
"1677124580-4715","https://www.datosmundial.com/america/jamaica/inflacion.php","1988","8,27 %"
"1677124580-4716","https://www.datosmundial.com/america/jamaica/inflacion.php","1987","6,65 %"
"1677124580-4717","https://www.datosmundial.com/america/jamaica/inflacion.php","1986","15,11 %"
"1677124580-4718","https://www.datosmundial.com/america/jamaica/inflacion.php","1985","25,67 %"
"1677124580-4719","https://www.datosmundial.com/america/jamaica/inflacion.php","1984","27,81 %"
"1677124580-4720","https://www.datosmundial.com/america/jamaica/inflacion.php","1983","11,58 %"
