web-scraper-order,web-scraper-start-url,Año,inflacion
"1677124647-4744","https://www.datosmundial.com/america/mexico/inflacion.php","2021","5,69 %"
"1677124647-4745","https://www.datosmundial.com/america/mexico/inflacion.php","2020","3,40 %"
"1677124647-4746","https://www.datosmundial.com/america/mexico/inflacion.php","2019","3,64 %"
"1677124647-4747","https://www.datosmundial.com/america/mexico/inflacion.php","2018","4,90 %"
"1677124647-4748","https://www.datosmundial.com/america/mexico/inflacion.php","2017","6,04 %"
"1677124647-4749","https://www.datosmundial.com/america/mexico/inflacion.php","2016","2,82 %"
"1677124647-4750","https://www.datosmundial.com/america/mexico/inflacion.php","2015","2,72 %"
"1677124647-4751","https://www.datosmundial.com/america/mexico/inflacion.php","2014","4,02 %"
"1677124647-4752","https://www.datosmundial.com/america/mexico/inflacion.php","2013","3,81 %"
"1677124647-4753","https://www.datosmundial.com/america/mexico/inflacion.php","2012","4,11 %"
"1677124647-4754","https://www.datosmundial.com/america/mexico/inflacion.php","2011","3,41 %"
"1677124647-4755","https://www.datosmundial.com/america/mexico/inflacion.php","2010","4,16 %"
"1677124647-4756","https://www.datosmundial.com/america/mexico/inflacion.php","2009","5,30 %"
"1677124647-4757","https://www.datosmundial.com/america/mexico/inflacion.php","2008","5,12 %"
"1677124647-4758","https://www.datosmundial.com/america/mexico/inflacion.php","2007","3,97 %"
"1677124647-4759","https://www.datosmundial.com/america/mexico/inflacion.php","2006","3,63 %"
"1677124647-4760","https://www.datosmundial.com/america/mexico/inflacion.php","2005","3,99 %"
"1677124647-4761","https://www.datosmundial.com/america/mexico/inflacion.php","2004","4,69 %"
"1677124647-4762","https://www.datosmundial.com/america/mexico/inflacion.php","2003","4,55 %"
"1677124647-4763","https://www.datosmundial.com/america/mexico/inflacion.php","2002","5,03 %"
"1677124647-4764","https://www.datosmundial.com/america/mexico/inflacion.php","2001","6,37 %"
"1677124647-4765","https://www.datosmundial.com/america/mexico/inflacion.php","2000","9,49 %"
"1677124647-4766","https://www.datosmundial.com/america/mexico/inflacion.php","1999","16,59 %"
"1677124647-4767","https://www.datosmundial.com/america/mexico/inflacion.php","1998","15,93 %"
"1677124647-4768","https://www.datosmundial.com/america/mexico/inflacion.php","1997","20,63 %"
"1677124647-4769","https://www.datosmundial.com/america/mexico/inflacion.php","1996","34,38 %"
"1677124647-4770","https://www.datosmundial.com/america/mexico/inflacion.php","1995","35,00 %"
"1677124647-4771","https://www.datosmundial.com/america/mexico/inflacion.php","1994","6,97 %"
"1677124647-4772","https://www.datosmundial.com/america/mexico/inflacion.php","1993","9,75 %"
"1677124647-4773","https://www.datosmundial.com/america/mexico/inflacion.php","1992","15,51 %"
"1677124647-4774","https://www.datosmundial.com/america/mexico/inflacion.php","1991","22,66 %"
"1677124647-4775","https://www.datosmundial.com/america/mexico/inflacion.php","1990","26,65 %"
"1677124647-4776","https://www.datosmundial.com/america/mexico/inflacion.php","1989","20,01 %"
"1677124647-4777","https://www.datosmundial.com/america/mexico/inflacion.php","1988","114,16 %"
"1677124647-4778","https://www.datosmundial.com/america/mexico/inflacion.php","1987","131,83 %"
"1677124647-4779","https://www.datosmundial.com/america/mexico/inflacion.php","1986","86,23 %"
"1677124647-4780","https://www.datosmundial.com/america/mexico/inflacion.php","1985","57,75 %"
"1677124647-4781","https://www.datosmundial.com/america/mexico/inflacion.php","1984","65,45 %"
"1677124647-4782","https://www.datosmundial.com/america/mexico/inflacion.php","1983","101,87 %"
"1677124647-4783","https://www.datosmundial.com/america/mexico/inflacion.php","1982","58,91 %"
"1677124647-4784","https://www.datosmundial.com/america/mexico/inflacion.php","1981","27,93 %"
"1677124647-4785","https://www.datosmundial.com/america/mexico/inflacion.php","1980","26,35 %"
"1677124647-4786","https://www.datosmundial.com/america/mexico/inflacion.php","1979","18,19 %"
"1677124647-4787","https://www.datosmundial.com/america/mexico/inflacion.php","1978","17,46 %"
"1677124647-4788","https://www.datosmundial.com/america/mexico/inflacion.php","1977","29,06 %"
"1677124647-4789","https://www.datosmundial.com/america/mexico/inflacion.php","1976","15,82 %"
"1677124647-4790","https://www.datosmundial.com/america/mexico/inflacion.php","1975","14,94 %"
"1677124647-4791","https://www.datosmundial.com/america/mexico/inflacion.php","1974","23,78 %"
"1677124647-4792","https://www.datosmundial.com/america/mexico/inflacion.php","1973","12,08 %"
"1677124647-4793","https://www.datosmundial.com/america/mexico/inflacion.php","1972","4,94 %"
"1677124647-4794","https://www.datosmundial.com/america/mexico/inflacion.php","1971","5,47 %"
"1677124647-4795","https://www.datosmundial.com/america/mexico/inflacion.php","1970","5,00 %"
"1677124647-4796","https://www.datosmundial.com/america/mexico/inflacion.php","1969","3,37 %"
"1677124647-4797","https://www.datosmundial.com/america/mexico/inflacion.php","1968","2,33 %"
"1677124647-4798","https://www.datosmundial.com/america/mexico/inflacion.php","1967","3,02 %"
"1677124647-4799","https://www.datosmundial.com/america/mexico/inflacion.php","1966","4,22 %"
"1677124647-4800","https://www.datosmundial.com/america/mexico/inflacion.php","1965","3,57 %"
"1677124647-4801","https://www.datosmundial.com/america/mexico/inflacion.php","1964","2,34 %"
"1677124647-4802","https://www.datosmundial.com/america/mexico/inflacion.php","1963","0,59 %"
"1677124647-4803","https://www.datosmundial.com/america/mexico/inflacion.php","1962","1,20 %"
"1677124647-4804","https://www.datosmundial.com/america/mexico/inflacion.php","1961","1,61 %"
"1677124647-4805","https://www.datosmundial.com/america/mexico/inflacion.php","1960","4,93 %"
