web-scraper-order,web-scraper-start-url,Año,inflacion
"1677125001-4806","https://www.datosmundial.com/america/nicaragua/inflacion.php","2021","4,93 %"
"1677125001-4807","https://www.datosmundial.com/america/nicaragua/inflacion.php","2020","3,68 %"
"1677125001-4808","https://www.datosmundial.com/america/nicaragua/inflacion.php","2019","5,38 %"
"1677125001-4809","https://www.datosmundial.com/america/nicaragua/inflacion.php","2018","4,95 %"
"1677125001-4810","https://www.datosmundial.com/america/nicaragua/inflacion.php","2017","3,85 %"
"1677125001-4811","https://www.datosmundial.com/america/nicaragua/inflacion.php","2016","3,52 %"
"1677125001-4812","https://www.datosmundial.com/america/nicaragua/inflacion.php","2015","4,00 %"
"1677125001-4813","https://www.datosmundial.com/america/nicaragua/inflacion.php","2014","6,04 %"
"1677125001-4814","https://www.datosmundial.com/america/nicaragua/inflacion.php","2013","7,14 %"
"1677125001-4815","https://www.datosmundial.com/america/nicaragua/inflacion.php","2012","7,19 %"
"1677125001-4816","https://www.datosmundial.com/america/nicaragua/inflacion.php","2011","8,08 %"
"1677125001-4817","https://www.datosmundial.com/america/nicaragua/inflacion.php","2010","5,46 %"
"1677125001-4818","https://www.datosmundial.com/america/nicaragua/inflacion.php","2009","3,69 %"
"1677125001-4819","https://www.datosmundial.com/america/nicaragua/inflacion.php","2008","19,83 %"
"1677125001-4820","https://www.datosmundial.com/america/nicaragua/inflacion.php","2007","11,13 %"
"1677125001-4821","https://www.datosmundial.com/america/nicaragua/inflacion.php","2006","9,14 %"
"1677125001-4822","https://www.datosmundial.com/america/nicaragua/inflacion.php","2005","9,60 %"
"1677125001-4823","https://www.datosmundial.com/america/nicaragua/inflacion.php","2004","8,47 %"
"1677125001-4824","https://www.datosmundial.com/america/nicaragua/inflacion.php","2003","5,30 %"
"1677125001-4825","https://www.datosmundial.com/america/nicaragua/inflacion.php","2002","3,75 %"
"1677125001-4826","https://www.datosmundial.com/america/nicaragua/inflacion.php","2001","5,99 %"
"1677125001-4827","https://www.datosmundial.com/america/nicaragua/inflacion.php","2000","7,07 %"
"1677125001-4828","https://www.datosmundial.com/america/nicaragua/inflacion.php","1999","11,22 %"
"1677125001-4829","https://www.datosmundial.com/america/nicaragua/inflacion.php","1998","13,04 %"
"1677125001-4830","https://www.datosmundial.com/america/nicaragua/inflacion.php","1997","9,22 %"
"1677125001-4831","https://www.datosmundial.com/america/nicaragua/inflacion.php","1996","11,62 %"
"1677125001-4832","https://www.datosmundial.com/america/nicaragua/inflacion.php","1995","10,94 %"
"1677125001-4833","https://www.datosmundial.com/america/nicaragua/inflacion.php","1994","6,71 %"
"1677125001-4834","https://www.datosmundial.com/america/nicaragua/inflacion.php","1993","20,40 %"
"1677125001-4835","https://www.datosmundial.com/america/nicaragua/inflacion.php","1992","23,67 %"
"1677125001-4836","https://www.datosmundial.com/america/nicaragua/inflacion.php","1991","2.945,09 %"
"1677125001-4837","https://www.datosmundial.com/america/nicaragua/inflacion.php","1990","7.485,49 %"
"1677125001-4838","https://www.datosmundial.com/america/nicaragua/inflacion.php","1989","4.770,19 %"
"1677125001-4839","https://www.datosmundial.com/america/nicaragua/inflacion.php","1988","10.205,03 %"
"1677125001-4840","https://www.datosmundial.com/america/nicaragua/inflacion.php","1987","911,93 %"
"1677125001-4841","https://www.datosmundial.com/america/nicaragua/inflacion.php","1986","681,42 %"
"1677125001-4842","https://www.datosmundial.com/america/nicaragua/inflacion.php","1985","219,47 %"
"1677125001-4843","https://www.datosmundial.com/america/nicaragua/inflacion.php","1984","35,44 %"
"1677125001-4844","https://www.datosmundial.com/america/nicaragua/inflacion.php","1983","31,07 %"
"1677125001-4845","https://www.datosmundial.com/america/nicaragua/inflacion.php","1982","24,79 %"
"1677125001-4846","https://www.datosmundial.com/america/nicaragua/inflacion.php","1981","23,87 %"
"1677125001-4847","https://www.datosmundial.com/america/nicaragua/inflacion.php","1980","35,30 %"
