web-scraper-order,web-scraper-start-url,Año,inflacion
"1677125312-4848","https://www.datosmundial.com/america/panama/inflacion.php","2021","1,63 %"
"1677125312-4849","https://www.datosmundial.com/america/panama/inflacion.php","2020","-1,55 %"
"1677125312-4850","https://www.datosmundial.com/america/panama/inflacion.php","2019","-0,36 %"
"1677125312-4851","https://www.datosmundial.com/america/panama/inflacion.php","2018","0,76 %"
"1677125312-4852","https://www.datosmundial.com/america/panama/inflacion.php","2017","0,88 %"
"1677125312-4853","https://www.datosmundial.com/america/panama/inflacion.php","2016","0,74 %"
"1677125312-4854","https://www.datosmundial.com/america/panama/inflacion.php","2015","0,14 %"
"1677125312-4855","https://www.datosmundial.com/america/panama/inflacion.php","2014","2,63 %"
"1677125312-4856","https://www.datosmundial.com/america/panama/inflacion.php","2013","4,03 %"
"1677125312-4857","https://www.datosmundial.com/america/panama/inflacion.php","2012","5,70 %"
"1677125312-4858","https://www.datosmundial.com/america/panama/inflacion.php","2011","5,88 %"
"1677125312-4859","https://www.datosmundial.com/america/panama/inflacion.php","2010","3,49 %"
"1677125312-4860","https://www.datosmundial.com/america/panama/inflacion.php","2009","2,41 %"
"1677125312-4861","https://www.datosmundial.com/america/panama/inflacion.php","2008","8,76 %"
"1677125312-4862","https://www.datosmundial.com/america/panama/inflacion.php","2007","4,17 %"
"1677125312-4863","https://www.datosmundial.com/america/panama/inflacion.php","2006","2,46 %"
"1677125312-4864","https://www.datosmundial.com/america/panama/inflacion.php","2005","2,86 %"
"1677125312-4865","https://www.datosmundial.com/america/panama/inflacion.php","2004","0,47 %"
"1677125312-4866","https://www.datosmundial.com/america/panama/inflacion.php","2003","0,39 %"
"1677125312-4867","https://www.datosmundial.com/america/panama/inflacion.php","2002","1,01 %"
"1677125312-4868","https://www.datosmundial.com/america/panama/inflacion.php","2001","0,31 %"
"1677125312-4869","https://www.datosmundial.com/america/panama/inflacion.php","2000","1,50 %"
"1677125312-4870","https://www.datosmundial.com/america/panama/inflacion.php","1999","1,25 %"
"1677125312-4871","https://www.datosmundial.com/america/panama/inflacion.php","1998","0,56 %"
"1677125312-4872","https://www.datosmundial.com/america/panama/inflacion.php","1997","1,32 %"
"1677125312-4873","https://www.datosmundial.com/america/panama/inflacion.php","1996","1,26 %"
"1677125312-4874","https://www.datosmundial.com/america/panama/inflacion.php","1995","0,99 %"
"1677125312-4875","https://www.datosmundial.com/america/panama/inflacion.php","1994","1,27 %"
"1677125312-4876","https://www.datosmundial.com/america/panama/inflacion.php","1993","0,45 %"
"1677125312-4877","https://www.datosmundial.com/america/panama/inflacion.php","1992","1,82 %"
"1677125312-4878","https://www.datosmundial.com/america/panama/inflacion.php","1991","1,26 %"
"1677125312-4879","https://www.datosmundial.com/america/panama/inflacion.php","1990","0,77 %"
"1677125312-4880","https://www.datosmundial.com/america/panama/inflacion.php","1989","0,21 %"
"1677125312-4881","https://www.datosmundial.com/america/panama/inflacion.php","1988","0,36 %"
"1677125312-4882","https://www.datosmundial.com/america/panama/inflacion.php","1987","1,00 %"
"1677125312-4883","https://www.datosmundial.com/america/panama/inflacion.php","1986","-0,07 %"
"1677125312-4884","https://www.datosmundial.com/america/panama/inflacion.php","1985","1,03 %"
"1677125312-4885","https://www.datosmundial.com/america/panama/inflacion.php","1984","1,58 %"
"1677125312-4886","https://www.datosmundial.com/america/panama/inflacion.php","1983","2,10 %"
"1677125312-4887","https://www.datosmundial.com/america/panama/inflacion.php","1982","4,25 %"
"1677125312-4888","https://www.datosmundial.com/america/panama/inflacion.php","1981","7,30 %"
"1677125312-4889","https://www.datosmundial.com/america/panama/inflacion.php","1980","13,81 %"
"1677125312-4890","https://www.datosmundial.com/america/panama/inflacion.php","1979","7,99 %"
"1677125312-4891","https://www.datosmundial.com/america/panama/inflacion.php","1978","4,20 %"
"1677125312-4892","https://www.datosmundial.com/america/panama/inflacion.php","1977","4,59 %"
"1677125312-4893","https://www.datosmundial.com/america/panama/inflacion.php","1976","3,95 %"
"1677125312-4894","https://www.datosmundial.com/america/panama/inflacion.php","1975","5,88 %"
"1677125312-4895","https://www.datosmundial.com/america/panama/inflacion.php","1974","16,27 %"
"1677125312-4896","https://www.datosmundial.com/america/panama/inflacion.php","1973","6,86 %"
"1677125312-4897","https://www.datosmundial.com/america/panama/inflacion.php","1972","5,41 %"
"1677125312-4898","https://www.datosmundial.com/america/panama/inflacion.php","1971","1,92 %"
"1677125312-4899","https://www.datosmundial.com/america/panama/inflacion.php","1970","3,08 %"
"1677125312-4900","https://www.datosmundial.com/america/panama/inflacion.php","1969","1,83 %"
"1677125312-4901","https://www.datosmundial.com/america/panama/inflacion.php","1968","1,62 %"
"1677125312-4902","https://www.datosmundial.com/america/panama/inflacion.php","1967","1,38 %"
"1677125312-4903","https://www.datosmundial.com/america/panama/inflacion.php","1966","0,19 %"
"1677125312-4904","https://www.datosmundial.com/america/panama/inflacion.php","1965","0,46 %"
"1677125312-4905","https://www.datosmundial.com/america/panama/inflacion.php","1964","2,41 %"
"1677125312-4906","https://www.datosmundial.com/america/panama/inflacion.php","1963","0,45 %"
"1677125312-4907","https://www.datosmundial.com/america/panama/inflacion.php","1962","0,79 %"
"1677125312-4908","https://www.datosmundial.com/america/panama/inflacion.php","1961","0,61 %"
"1677125312-4909","https://www.datosmundial.com/america/panama/inflacion.php","1960","0,05 %"
