web-scraper-order,web-scraper-start-url,Año,inflacion
"1677125638-4910","https://www.datosmundial.com/america/paraguay/inflacion.php","2021","4,79 %"
"1677125638-4911","https://www.datosmundial.com/america/paraguay/inflacion.php","2020","1,77 %"
"1677125638-4912","https://www.datosmundial.com/america/paraguay/inflacion.php","2019","2,76 %"
"1677125638-4913","https://www.datosmundial.com/america/paraguay/inflacion.php","2018","3,98 %"
"1677125638-4914","https://www.datosmundial.com/america/paraguay/inflacion.php","2017","3,60 %"
"1677125638-4915","https://www.datosmundial.com/america/paraguay/inflacion.php","2016","4,09 %"
"1677125638-4916","https://www.datosmundial.com/america/paraguay/inflacion.php","2015","3,13 %"
"1677125638-4917","https://www.datosmundial.com/america/paraguay/inflacion.php","2014","5,03 %"
"1677125638-4918","https://www.datosmundial.com/america/paraguay/inflacion.php","2013","2,68 %"
"1677125638-4919","https://www.datosmundial.com/america/paraguay/inflacion.php","2012","3,68 %"
"1677125638-4920","https://www.datosmundial.com/america/paraguay/inflacion.php","2011","8,25 %"
"1677125638-4921","https://www.datosmundial.com/america/paraguay/inflacion.php","2010","4,65 %"
"1677125638-4922","https://www.datosmundial.com/america/paraguay/inflacion.php","2009","2,59 %"
"1677125638-4923","https://www.datosmundial.com/america/paraguay/inflacion.php","2008","10,15 %"
"1677125638-4924","https://www.datosmundial.com/america/paraguay/inflacion.php","2007","8,13 %"
"1677125638-4925","https://www.datosmundial.com/america/paraguay/inflacion.php","2006","9,59 %"
"1677125638-4926","https://www.datosmundial.com/america/paraguay/inflacion.php","2005","6,81 %"
"1677125638-4927","https://www.datosmundial.com/america/paraguay/inflacion.php","2004","4,32 %"
"1677125638-4928","https://www.datosmundial.com/america/paraguay/inflacion.php","2003","14,24 %"
"1677125638-4929","https://www.datosmundial.com/america/paraguay/inflacion.php","2002","10,51 %"
"1677125638-4930","https://www.datosmundial.com/america/paraguay/inflacion.php","2001","7,27 %"
"1677125638-4931","https://www.datosmundial.com/america/paraguay/inflacion.php","2000","8,98 %"
"1677125638-4932","https://www.datosmundial.com/america/paraguay/inflacion.php","1999","6,75 %"
"1677125638-4933","https://www.datosmundial.com/america/paraguay/inflacion.php","1998","11,55 %"
"1677125638-4934","https://www.datosmundial.com/america/paraguay/inflacion.php","1997","6,95 %"
"1677125638-4935","https://www.datosmundial.com/america/paraguay/inflacion.php","1996","9,80 %"
"1677125638-4936","https://www.datosmundial.com/america/paraguay/inflacion.php","1995","13,43 %"
"1677125638-4937","https://www.datosmundial.com/america/paraguay/inflacion.php","1994","20,57 %"
"1677125638-4938","https://www.datosmundial.com/america/paraguay/inflacion.php","1993","18,21 %"
"1677125638-4939","https://www.datosmundial.com/america/paraguay/inflacion.php","1992","15,19 %"
"1677125638-4940","https://www.datosmundial.com/america/paraguay/inflacion.php","1991","24,23 %"
"1677125638-4941","https://www.datosmundial.com/america/paraguay/inflacion.php","1990","37,26 %"
"1677125638-4942","https://www.datosmundial.com/america/paraguay/inflacion.php","1989","26,42 %"
"1677125638-4943","https://www.datosmundial.com/america/paraguay/inflacion.php","1988","22,59 %"
"1677125638-4944","https://www.datosmundial.com/america/paraguay/inflacion.php","1987","21,81 %"
"1677125638-4945","https://www.datosmundial.com/america/paraguay/inflacion.php","1986","31,74 %"
"1677125638-4946","https://www.datosmundial.com/america/paraguay/inflacion.php","1985","25,21 %"
"1677125638-4947","https://www.datosmundial.com/america/paraguay/inflacion.php","1984","20,31 %"
"1677125638-4948","https://www.datosmundial.com/america/paraguay/inflacion.php","1983","13,43 %"
"1677125638-4949","https://www.datosmundial.com/america/paraguay/inflacion.php","1982","5,12 %"
"1677125638-4950","https://www.datosmundial.com/america/paraguay/inflacion.php","1981","12,97 %"
"1677125638-4951","https://www.datosmundial.com/america/paraguay/inflacion.php","1980","22,45 %"
"1677125638-4952","https://www.datosmundial.com/america/paraguay/inflacion.php","1979","28,16 %"
"1677125638-4953","https://www.datosmundial.com/america/paraguay/inflacion.php","1978","10,66 %"
"1677125638-4954","https://www.datosmundial.com/america/paraguay/inflacion.php","1977","9,36 %"
"1677125638-4955","https://www.datosmundial.com/america/paraguay/inflacion.php","1976","4,47 %"
"1677125638-4956","https://www.datosmundial.com/america/paraguay/inflacion.php","1975","6,69 %"
"1677125638-4957","https://www.datosmundial.com/america/paraguay/inflacion.php","1974","25,23 %"
"1677125638-4958","https://www.datosmundial.com/america/paraguay/inflacion.php","1973","12,80 %"
"1677125638-4959","https://www.datosmundial.com/america/paraguay/inflacion.php","1972","9,18 %"
"1677125638-4960","https://www.datosmundial.com/america/paraguay/inflacion.php","1971","4,95 %"
"1677125638-4961","https://www.datosmundial.com/america/paraguay/inflacion.php","1970","-0,86 %"
"1677125638-4962","https://www.datosmundial.com/america/paraguay/inflacion.php","1969","2,25 %"
"1677125638-4963","https://www.datosmundial.com/america/paraguay/inflacion.php","1968","0,71 %"
"1677125638-4964","https://www.datosmundial.com/america/paraguay/inflacion.php","1967","1,37 %"
"1677125638-4965","https://www.datosmundial.com/america/paraguay/inflacion.php","1966","2,87 %"
"1677125638-4966","https://www.datosmundial.com/america/paraguay/inflacion.php","1965","3,86 %"
"1677125638-4967","https://www.datosmundial.com/america/paraguay/inflacion.php","1964","1,37 %"
"1677125638-4968","https://www.datosmundial.com/america/paraguay/inflacion.php","1963","2,10 %"
"1677125638-4969","https://www.datosmundial.com/america/paraguay/inflacion.php","1962","1,42 %"
"1677125638-4970","https://www.datosmundial.com/america/paraguay/inflacion.php","1961","18,49 %"
"1677125638-4971","https://www.datosmundial.com/america/paraguay/inflacion.php","1960","8,18 %"
