web-scraper-order,web-scraper-start-url,Año,inflacion
"1677125850-4972","https://www.datosmundial.com/america/peru/inflacion.php","2021","4,27 %"
"1677125850-4973","https://www.datosmundial.com/america/peru/inflacion.php","2020","2,00 %"
"1677125850-4974","https://www.datosmundial.com/america/peru/inflacion.php","2019","2,25 %"
"1677125850-4975","https://www.datosmundial.com/america/peru/inflacion.php","2018","1,51 %"
"1677125850-4976","https://www.datosmundial.com/america/peru/inflacion.php","2017","2,99 %"
"1677125850-4977","https://www.datosmundial.com/america/peru/inflacion.php","2016","3,56 %"
"1677125850-4978","https://www.datosmundial.com/america/peru/inflacion.php","2015","3,40 %"
"1677125850-4979","https://www.datosmundial.com/america/peru/inflacion.php","2014","3,41 %"
"1677125850-4980","https://www.datosmundial.com/america/peru/inflacion.php","2013","2,77 %"
"1677125850-4981","https://www.datosmundial.com/america/peru/inflacion.php","2012","3,61 %"
"1677125850-4982","https://www.datosmundial.com/america/peru/inflacion.php","2011","3,37 %"
"1677125850-4983","https://www.datosmundial.com/america/peru/inflacion.php","2010","1,53 %"
"1677125850-4984","https://www.datosmundial.com/america/peru/inflacion.php","2009","2,94 %"
"1677125850-4985","https://www.datosmundial.com/america/peru/inflacion.php","2008","5,79 %"
"1677125850-4986","https://www.datosmundial.com/america/peru/inflacion.php","2007","1,78 %"
"1677125850-4987","https://www.datosmundial.com/america/peru/inflacion.php","2006","2,00 %"
"1677125850-4988","https://www.datosmundial.com/america/peru/inflacion.php","2005","1,62 %"
"1677125850-4989","https://www.datosmundial.com/america/peru/inflacion.php","2004","3,66 %"
"1677125850-4990","https://www.datosmundial.com/america/peru/inflacion.php","2003","2,26 %"
"1677125850-4991","https://www.datosmundial.com/america/peru/inflacion.php","2002","0,19 %"
"1677125850-4992","https://www.datosmundial.com/america/peru/inflacion.php","2001","1,98 %"
"1677125850-4993","https://www.datosmundial.com/america/peru/inflacion.php","2000","3,76 %"
"1677125850-4994","https://www.datosmundial.com/america/peru/inflacion.php","1999","3,47 %"
"1677125850-4995","https://www.datosmundial.com/america/peru/inflacion.php","1998","7,25 %"
"1677125850-4996","https://www.datosmundial.com/america/peru/inflacion.php","1997","8,56 %"
"1677125850-4997","https://www.datosmundial.com/america/peru/inflacion.php","1996","11,54 %"
"1677125850-4998","https://www.datosmundial.com/america/peru/inflacion.php","1995","11,13 %"
"1677125850-4999","https://www.datosmundial.com/america/peru/inflacion.php","1994","23,74 %"
"1677125850-5000","https://www.datosmundial.com/america/peru/inflacion.php","1993","48,58 %"
"1677125850-5001","https://www.datosmundial.com/america/peru/inflacion.php","1992","73,53 %"
"1677125850-5002","https://www.datosmundial.com/america/peru/inflacion.php","1991","409,53 %"
"1677125850-5003","https://www.datosmundial.com/america/peru/inflacion.php","1990","7.481,66 %"
"1677125850-5004","https://www.datosmundial.com/america/peru/inflacion.php","1989","3.398,68 %"
"1677125850-5005","https://www.datosmundial.com/america/peru/inflacion.php","1988","667,02 %"
"1677125850-5006","https://www.datosmundial.com/america/peru/inflacion.php","1987","85,82 %"
"1677125850-5007","https://www.datosmundial.com/america/peru/inflacion.php","1986","77,92 %"
"1677125850-5008","https://www.datosmundial.com/america/peru/inflacion.php","1985","163,40 %"
"1677125850-5009","https://www.datosmundial.com/america/peru/inflacion.php","1984","110,21 %"
"1677125850-5010","https://www.datosmundial.com/america/peru/inflacion.php","1983","111,15 %"
"1677125850-5011","https://www.datosmundial.com/america/peru/inflacion.php","1982","64,45 %"
"1677125850-5012","https://www.datosmundial.com/america/peru/inflacion.php","1981","75,43 %"
"1677125850-5013","https://www.datosmundial.com/america/peru/inflacion.php","1980","59,15 %"
"1677125850-5014","https://www.datosmundial.com/america/peru/inflacion.php","1979","66,69 %"
"1677125850-5015","https://www.datosmundial.com/america/peru/inflacion.php","1978","57,85 %"
"1677125850-5016","https://www.datosmundial.com/america/peru/inflacion.php","1977","38,05 %"
"1677125850-5017","https://www.datosmundial.com/america/peru/inflacion.php","1976","33,48 %"
"1677125850-5018","https://www.datosmundial.com/america/peru/inflacion.php","1975","23,62 %"
"1677125850-5019","https://www.datosmundial.com/america/peru/inflacion.php","1974","16,89 %"
"1677125850-5020","https://www.datosmundial.com/america/peru/inflacion.php","1973","9,49 %"
"1677125850-5021","https://www.datosmundial.com/america/peru/inflacion.php","1972","7,22 %"
"1677125850-5022","https://www.datosmundial.com/america/peru/inflacion.php","1971","6,79 %"
"1677125850-5023","https://www.datosmundial.com/america/peru/inflacion.php","1970","5,03 %"
"1677125850-5024","https://www.datosmundial.com/america/peru/inflacion.php","1969","6,24 %"
"1677125850-5025","https://www.datosmundial.com/america/peru/inflacion.php","1968","19,09 %"
"1677125850-5026","https://www.datosmundial.com/america/peru/inflacion.php","1967","9,78 %"
"1677125850-5027","https://www.datosmundial.com/america/peru/inflacion.php","1966","8,84 %"
"1677125850-5028","https://www.datosmundial.com/america/peru/inflacion.php","1965","16,39 %"
"1677125850-5029","https://www.datosmundial.com/america/peru/inflacion.php","1964","9,79 %"
"1677125850-5030","https://www.datosmundial.com/america/peru/inflacion.php","1963","6,07 %"
"1677125850-5031","https://www.datosmundial.com/america/peru/inflacion.php","1962","6,64 %"
"1677125850-5032","https://www.datosmundial.com/america/peru/inflacion.php","1961","5,92 %"
"1677125850-5033","https://www.datosmundial.com/america/peru/inflacion.php","1960","8,66 %"
