web-scraper-order,web-scraper-start-url,Año,inflacion
"1677126497-5096","https://www.datosmundial.com/america/uruguay/inflacion.php","2021","7,75 %"
"1677126497-5097","https://www.datosmundial.com/america/uruguay/inflacion.php","2020","9,76 %"
"1677126497-5098","https://www.datosmundial.com/america/uruguay/inflacion.php","2019","7,88 %"
"1677126497-5099","https://www.datosmundial.com/america/uruguay/inflacion.php","2018","7,61 %"
"1677126497-5100","https://www.datosmundial.com/america/uruguay/inflacion.php","2017","6,22 %"
"1677126497-5101","https://www.datosmundial.com/america/uruguay/inflacion.php","2016","9,64 %"
"1677126497-5102","https://www.datosmundial.com/america/uruguay/inflacion.php","2015","8,67 %"
"1677126497-5103","https://www.datosmundial.com/america/uruguay/inflacion.php","2014","8,88 %"
"1677126497-5104","https://www.datosmundial.com/america/uruguay/inflacion.php","2013","8,58 %"
"1677126497-5105","https://www.datosmundial.com/america/uruguay/inflacion.php","2012","8,10 %"
"1677126497-5106","https://www.datosmundial.com/america/uruguay/inflacion.php","2011","8,09 %"
"1677126497-5107","https://www.datosmundial.com/america/uruguay/inflacion.php","2010","6,70 %"
"1677126497-5108","https://www.datosmundial.com/america/uruguay/inflacion.php","2009","7,06 %"
"1677126497-5109","https://www.datosmundial.com/america/uruguay/inflacion.php","2008","7,88 %"
"1677126497-5110","https://www.datosmundial.com/america/uruguay/inflacion.php","2007","8,11 %"
"1677126497-5111","https://www.datosmundial.com/america/uruguay/inflacion.php","2006","6,40 %"
"1677126497-5112","https://www.datosmundial.com/america/uruguay/inflacion.php","2005","4,70 %"
"1677126497-5113","https://www.datosmundial.com/america/uruguay/inflacion.php","2004","9,16 %"
"1677126497-5114","https://www.datosmundial.com/america/uruguay/inflacion.php","2003","19,38 %"
"1677126497-5115","https://www.datosmundial.com/america/uruguay/inflacion.php","2002","13,97 %"
"1677126497-5116","https://www.datosmundial.com/america/uruguay/inflacion.php","2001","4,36 %"
"1677126497-5117","https://www.datosmundial.com/america/uruguay/inflacion.php","2000","4,76 %"
"1677126497-5118","https://www.datosmundial.com/america/uruguay/inflacion.php","1999","5,66 %"
"1677126497-5119","https://www.datosmundial.com/america/uruguay/inflacion.php","1998","10,81 %"
"1677126497-5120","https://www.datosmundial.com/america/uruguay/inflacion.php","1997","19,82 %"
"1677126497-5121","https://www.datosmundial.com/america/uruguay/inflacion.php","1996","28,34 %"
"1677126497-5122","https://www.datosmundial.com/america/uruguay/inflacion.php","1995","42,25 %"
"1677126497-5123","https://www.datosmundial.com/america/uruguay/inflacion.php","1994","44,74 %"
"1677126497-5124","https://www.datosmundial.com/america/uruguay/inflacion.php","1993","54,10 %"
"1677126497-5125","https://www.datosmundial.com/america/uruguay/inflacion.php","1992","68,46 %"
"1677126497-5126","https://www.datosmundial.com/america/uruguay/inflacion.php","1991","101,97 %"
"1677126497-5127","https://www.datosmundial.com/america/uruguay/inflacion.php","1990","112,53 %"
"1677126497-5128","https://www.datosmundial.com/america/uruguay/inflacion.php","1989","80,45 %"
"1677126497-5129","https://www.datosmundial.com/america/uruguay/inflacion.php","1988","62,19 %"
"1677126497-5130","https://www.datosmundial.com/america/uruguay/inflacion.php","1987","63,57 %"
"1677126497-5131","https://www.datosmundial.com/america/uruguay/inflacion.php","1986","76,38 %"
"1677126497-5132","https://www.datosmundial.com/america/uruguay/inflacion.php","1985","72,22 %"
"1677126497-5133","https://www.datosmundial.com/america/uruguay/inflacion.php","1984","55,30 %"
"1677126497-5134","https://www.datosmundial.com/america/uruguay/inflacion.php","1983","49,20 %"
"1677126497-5135","https://www.datosmundial.com/america/uruguay/inflacion.php","1982","18,99 %"
"1677126497-5136","https://www.datosmundial.com/america/uruguay/inflacion.php","1981","34,05 %"
"1677126497-5137","https://www.datosmundial.com/america/uruguay/inflacion.php","1980","63,48 %"
"1677126497-5138","https://www.datosmundial.com/america/uruguay/inflacion.php","1979","66,84 %"
"1677126497-5139","https://www.datosmundial.com/america/uruguay/inflacion.php","1978","44,55 %"
"1677126497-5140","https://www.datosmundial.com/america/uruguay/inflacion.php","1977","58,20 %"
"1677126497-5141","https://www.datosmundial.com/america/uruguay/inflacion.php","1976","50,62 %"
"1677126497-5142","https://www.datosmundial.com/america/uruguay/inflacion.php","1975","81,41 %"
"1677126497-5143","https://www.datosmundial.com/america/uruguay/inflacion.php","1974","77,21 %"
"1677126497-5144","https://www.datosmundial.com/america/uruguay/inflacion.php","1973","97,00 %"
"1677126497-5145","https://www.datosmundial.com/america/uruguay/inflacion.php","1972","76,48 %"
"1677126497-5146","https://www.datosmundial.com/america/uruguay/inflacion.php","1971","23,95 %"
"1677126497-5147","https://www.datosmundial.com/america/uruguay/inflacion.php","1970","16,31 %"
"1677126497-5148","https://www.datosmundial.com/america/uruguay/inflacion.php","1969","20,97 %"
"1677126497-5149","https://www.datosmundial.com/america/uruguay/inflacion.php","1968","125,34 %"
"1677126497-5150","https://www.datosmundial.com/america/uruguay/inflacion.php","1967","89,28 %"
"1677126497-5151","https://www.datosmundial.com/america/uruguay/inflacion.php","1966","73,46 %"
"1677126497-5152","https://www.datosmundial.com/america/uruguay/inflacion.php","1965","56,56 %"
"1677126497-5153","https://www.datosmundial.com/america/uruguay/inflacion.php","1964","42,37 %"
"1677126497-5154","https://www.datosmundial.com/america/uruguay/inflacion.php","1963","21,25 %"
"1677126497-5155","https://www.datosmundial.com/america/uruguay/inflacion.php","1962","10,91 %"
"1677126497-5156","https://www.datosmundial.com/america/uruguay/inflacion.php","1961","22,75 %"
"1677126497-5157","https://www.datosmundial.com/america/uruguay/inflacion.php","1960","38,50 %"
