,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host,Inverse Inflation,Region,Gender,Age,Migrants
0,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,15+,607005.0
1,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,15-24,50821.0
2,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,15-24,50821.0
3,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,15-64,427184.0
4,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,25+,556184.0
5,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,25-54,269084.0
6,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,55-64,107280.0
7,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,65+,179821.0
8,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Female,Total,607005.0
9,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,15+,489300.0
10,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,15-24,43131.0
11,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,15-24,43131.0
12,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,15-64,360857.0
13,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,25+,446170.0
14,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,25-54,225409.0
15,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,55-64,92318.0
16,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,65+,128443.0
17,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Male,Total,489300.0
18,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Total,15+,1096305.0
19,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Total,15-24,93951.0
20,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Total,15-24,93951.0
21,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12,90.36,South America,Total,15-64,788041.0
