,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants
0,1990,Argentina,430155.0,1649919.0,160000.0,1.019,32637658,0.013179714059139905,0.004902312537253746,590155.0
1,1995,Argentina,481968.0,1595069.0,-105000.0,-0.623,34946116,0.013791747271713973,-0.0030046257501119725,376968.0
2,2000,Argentina,555542.0,1540219.0,-128000.0,-0.714,37070772,0.014985984106292687,-0.0034528549877515364,427542.0
3,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262083,-0.003199344446644456,680291.0
4,2010,Argentina,938639.0,1805957.0,-120000.0,-0.602,41100124,0.02283786297092437,-0.002919699220372182,818639.0
5,2015,Argentina,943843.0,2086301.0,30000.0,0.143,43257064,0.021819395787009494,0.0006935283448733367,973843.0
6,2020,Argentina,1076148.0,2281728.0,24000.0,0.109,45036030,0.023895267855537,0.0005329066527400395,1100148.0
7,1990,Bahamas,25137.0,26855.0,-811.0,-0.661,270690,0.09286268425135764,-0.0029960471387934537,24326.0
8,1995,Bahamas,29594.0,31654.0,-322.0,-0.24,299567,0.09878925248775733,-0.0010748847503229662,29272.0
9,2000,Bahamas,34301.0,36454.0,-3001.0,-2.076,325033,0.1055308230241237,-0.009232908658505444,31300.0
10,2005,Bahamas,34715.0,45531.0,11877.0,7.627,347815,0.09980880640570418,0.03414746345039748,46592.0
11,2010,Bahamas,35990.0,54745.0,14536.0,8.553,373277,0.096416334250436,0.03894159029353536,50526.0
12,2015,Bahamas,42965.0,59241.0,4999.0,2.742,392707,0.10940726801406647,0.012729592291453934,47964.0
13,2020,Bahamas,53793.0,63583.0,4999.0,2.606,406478,0.13233926559370987,0.012298328568827833,58792.0
14,1990,Barbados,84766.0,24024.0,-6311.0,-4.881,258871,0.32744494362056775,-0.02437893777209498,78455.0
15,1995,Barbados,89612.0,26224.0,-5393.0,-4.094,262309,0.34162762238428723,-0.020559721549775267,84219.0
16,2000,Barbados,94998.0,28424.0,-3643.0,-2.711,264663,0.3589394815293411,-0.013764674321684557,91355.0
17,2005,Barbados,92975.0,30624.0,-3188.0,-2.328,269489,0.3450048053909436,-0.011829796392431601,89787.0
18,2010,Barbados,96193.0,32825.0,-249.0,-0.178,274717,0.3501530666103663,-0.0009063873003854876,95944.0
19,2015,Barbados,101879.0,34475.0,-397.0,-0.28,278095,0.36634603283050754,-0.0014275697153850304,101482.0
20,2020,Barbados,99611.0,34869.0,-397.0,-0.277,280704,0.35486134860921115,-0.0014143011855905154,99214.0
21,1990,Bolivia,224693.0,73758.0,-64260.0,-1.971,7096195,0.031663870567254705,-0.009055557238773737,160433.0
22,1995,Bolivia,283540.0,83598.0,-51670.0,-1.427,7841471,0.03615903189592871,-0.006589324885598633,231870.0
23,2000,Bolivia,344702.0,92658.0,-64330.0,-1.604,8592656,0.04011588500691753,-0.0074866257883476305,280372.0
24,2005,Bolivia,543766.0,107745.0,-77720.0,-1.761,9377395,0.057986892948414775,-0.00828801602150704,466046.0
25,2010,Bolivia,779961.0,122846.0,-67700.0,-1.404,10223277,0.07629266036712103,-0.006622142782593096,712261.0
26,2015,Bolivia,824008.0,143008.0,-57620.0,-1.102,11090090,0.07430129061170829,-0.0051956296116623035,766388.0
27,2020,Bolivia,927244.0,164121.0,-47520.0,-0.843,11936169,0.07768355156499543,-0.003981176875092838,879724.0
28,1990,Brazil,491359.0,798517.0,0.0,0.0,150706450,0.003260371404143618,0.0,491359.0
29,1995,Brazil,730491.0,741557.0,0.0,0.0,163515330,0.004467415990904339,0.0,730491.0
30,2000,Brazil,940458.0,684596.0,0.0,0.0,175873710,0.005347348389932754,0.0,940458.0
31,2005,Brazil,1194575.0,638582.0,0.0,0.0,186797340,0.006395032177653065,0.0,1194575.0
32,2010,Brazil,1495404.0,592640.0,0.0,0.0,196353500,0.007615876467697291,0.0,1495404.0
33,2015,Brazil,1504231.0,710304.0,15924.0,0.016,205188210,0.007330981638759849,7.760679816837429e-05,1520155.0
34,2020,Brazil,1897128.0,1079708.0,106000.0,0.102,213196300,0.008898503398042086,0.0004971943696959094,2003128.0
35,1990,Canada,994254.0,4333318.0,859217.0,6.45,27657206,0.035949184454857806,0.03106665944492007,1853471.0
36,1995,Canada,1064305.0,4864778.0,690555.0,4.871,29289430,0.036337511518660486,0.02357693543370424,1754860.0
37,2000,Canada,1142641.0,5511914.0,783535.0,5.245,30683316,0.037239814627597616,0.02553619041696797,1926176.0
38,2005,Canada,1185156.0,6078985.0,1052013.0,6.706,32215914,0.03678790550533503,0.03265507227266624,2237169.0
39,2010,Canada,1268057.0,6761226.0,1326431.0,8.001,33963416,0.037335967618804894,0.03905469932706416,2594488.0
40,2015,Canada,1263552.0,7428657.0,1241416.0,7.076,35732120,0.035361797732684205,0.03474229908552865,2504968.0
41,2020,Canada,1292329.0,8049323.0,1210159.0,6.562,37888704,0.034108556471079084,0.03193983621081365,2502488.0
42,1990,Chile,493026.0,107501.0,-68650.0,-1.076,13342876,0.036950504523912235,-0.005145067675064956,424376.0
43,1995,Chile,499207.0,142417.0,3610.0,0.052,14416799,0.03462675729889832,0.00025040232578674366,502817.0
44,2000,Chile,511997.0,177332.0,19340.0,0.26,15351803,0.033350936043147504,0.0012597868797560783,531337.0
45,2005,Chile,541745.0,276360.0,42330.0,0.537,16175315,0.033492083461744024,0.002616950581797016,584075.0
46,2010,Chile,571842.0,375388.0,107169.0,1.289,17004166,0.03362952349441896,0.006302514336780763,679011.0
47,2015,Chile,618015.0,639724.0,163730.0,1.869,17870122,0.03458370345764847,0.009162220604873319,781745.0
48,2020,Chile,643800.0,1645015.0,558539.0,6.024,19300318,0.03335696334122578,0.028939367734769968,1202339.0
49,1990,Colombia,1009148.0,104277.0,-324000.0,-2.055,32601396,0.030954134602088818,-0.009938224731235436,685148.0
50,1995,Colombia,1215967.0,106943.0,-287950.0,-1.657,35970104,0.03380493423093801,-0.008005259034002237,928017.0
51,2000,Colombia,1433940.0,109609.0,-259000.0,-1.362,39215136,0.03656598309387477,-0.006604592675644424,1174940.0
52,2005,Colombia,1883904.0,106523.0,-231000.0,-1.123,42220944,0.044620129763086304,-0.005471218265512964,1652904.0
53,2010,Colombia,2554020.0,130309.0,-195000.0,-0.888,44816104,0.056988889529531614,-0.00435111450116235,2359020.0
54,2015,Colombia,2698688.0,159407.0,-193380.0,-0.834,47119730,0.057272993711975854,-0.004104013329448195,2505308.0
55,2020,Colombia,3024273.0,1905393.0,1023981.0,4.162,50930656,0.05938020904344919,0.020105395854316113,4048254.0
56,1990,Costa Rica,69283.0,417628.0,17417.0,1.19,3158257,0.021937100115665065,0.0055147506995155875,86700.0
57,1995,Costa Rica,84980.0,364287.0,69202.0,4.153,3572855,0.02378490031081586,0.019368824091657792,154182.0
58,2000,Costa Rica,105227.0,310946.0,89527.0,4.77,3979189,0.026444333254841627,0.022498805661153566,194754.0
59,2005,Costa Rica,117618.0,358398.0,41792.0,2.027,4315894,0.02725229118231356,0.009683277670860312,159410.0
60,2010,Costa Rica,132317.0,405779.0,30339.0,1.369,4622250,0.028626102006598517,0.006563686516306994,162656.0
