,Region of Incident,total,Incident year,Region of Origin
0,Caribbean,73,2014,Caribbean
1,Central America,114,2014,South America
2,North America,20,2014,Central America
3,Caribbean,68,2015,Caribbean
4,Central America,100,2015,Central America
5,North America,31,2015,Central America
6,South America,2,2015,Caribbean
7,Caribbean,115,2016,Caribbean
8,Central America,152,2016,Central America
9,North America,97,2016,Central America
10,South America,30,2016,South America
11,Caribbean,169,2017,Caribbean
12,Central America,74,2017,Central America
13,North America,100,2017,Central America
14,Caribbean,39,2018,South America
15,Central America,77,2018,Central America
16,North America,135,2018,Central America
17,South America,29,2018,Caribbean
18,Caribbean,160,2019,Caribbean
19,Central America,166,2019,Central America
20,North America,152,2019,Central America
21,South America,14,2019,South America
22,Caribbean,158,2020,Caribbean
23,Central America,91,2020,Caribbean
24,North America,141,2020,South America
25,South America,91,2020,South America
26,Caribbean,176,2021,Caribbean
27,Central America,197,2021,Caribbean
28,North America,248,2021,South America
29,South America,115,2021,Caribbean
30,Caribbean,293,2022,South America
31,Central America,256,2022,Caribbean
32,North America,264,2022,Central America
33,South America,56,2022,South America
34,Caribbean,95,2023,Caribbean
35,Central America,22,2023,Central America
36,North America,4,2023,Caribbean
37,South America,31,2023,Caribbean
