,Country,Gender,Age,Year,Population
2,Argentina,Total,15+,2021,1141924.0
6,Argentina,Total,15-64,2021,852786.0
10,Argentina,Total,15-24,2021,99397.0
14,Argentina,Total,25+,2021,1042527.0
18,Argentina,Male,15+,2021,522284.99999999994
22,Argentina,Male,15-64,2021,400517.0
26,Argentina,Male,15-24,2021,52607.0
30,Argentina,Male,25+,2021,469678.0
34,Argentina,Female,15+,2021,619639.0
38,Argentina,Female,15-64,2021,452269.0
42,Argentina,Female,15-24,2021,46790.0
46,Argentina,Female,25+,2021,572849.0
50,Argentina,Total,Total,2021,1141924.0
54,Argentina,Total,15-24,2021,99397.0
58,Argentina,Total,25-54,2021,602653.0
62,Argentina,Total,55-64,2021,150736.0
66,Argentina,Total,65+,2021,289139.0
70,Argentina,Male,Total,2021,522284.99999999994
74,Argentina,Male,15-24,2021,52607.0
78,Argentina,Male,25-54,2021,276383.0
82,Argentina,Male,55-64,2021,71528.0
86,Argentina,Male,65+,2021,121768.0
90,Argentina,Female,Total,2021,619639.0
94,Argentina,Female,15-24,2021,46790.0
98,Argentina,Female,25-54,2021,326270.0
102,Argentina,Female,55-64,2021,79209.0
106,Argentina,Female,65+,2021,167371.0
110,Argentina,Total,15+,2020,1330014.0
114,Argentina,Total,15-64,2020,1042195.9999999999
118,Argentina,Total,15-24,2020,138287.0
122,Argentina,Total,25+,2020,1191727.0
126,Argentina,Male,15+,2020,616127.0
130,Argentina,Male,15-64,2020,481946.0
134,Argentina,Male,15-24,2020,85473.0
138,Argentina,Male,25+,2020,530654.0
142,Argentina,Female,15+,2020,713888.0
146,Argentina,Female,15-64,2020,560251.0
150,Argentina,Female,15-24,2020,52814.0
154,Argentina,Female,25+,2020,661074.0
158,Argentina,Total,Total,2020,1330014.0
162,Argentina,Total,15-24,2020,138287.0
166,Argentina,Total,25-54,2020,716211.0
170,Argentina,Total,55-64,2020,187698.0
174,Argentina,Total,65+,2020,287818.0
178,Argentina,Male,Total,2020,616127.0
182,Argentina,Male,15-24,2020,85473.0
186,Argentina,Male,25-54,2020,319543.0
190,Argentina,Male,55-64,2020,76930.0
194,Argentina,Male,65+,2020,134181.0
198,Argentina,Female,Total,2020,713888.0
202,Argentina,Female,15-24,2020,52814.0
206,Argentina,Female,25-54,2020,396668.0
210,Argentina,Female,55-64,2020,110768.0
214,Argentina,Female,65+,2020,153637.0
218,Argentina,Total,15+,2019,1428052.0
222,Argentina,Total,15-64,2019,1071963.0
226,Argentina,Total,15-24,2019,147290.0
230,Argentina,Total,25+,2019,1280762.0
234,Argentina,Male,15+,2019,645519.0
238,Argentina,Male,15-64,2019,493783.0
242,Argentina,Male,15-24,2019,77386.0
246,Argentina,Male,25+,2019,568133.0
250,Argentina,Female,15+,2019,782533.0
254,Argentina,Female,15-64,2019,578180.0
258,Argentina,Female,15-24,2019,69904.0
262,Argentina,Female,25+,2019,712630.0
266,Argentina,Total,Total,2019,1428052.0
270,Argentina,Total,15-24,2019,147290.0
274,Argentina,Total,25-54,2019,737773.0
278,Argentina,Total,55-64,2019,186900.0
282,Argentina,Total,65+,2019,356089.0
286,Argentina,Male,Total,2019,645519.0
290,Argentina,Male,15-24,2019,77386.0
294,Argentina,Male,25-54,2019,340935.0
298,Argentina,Male,55-64,2019,75462.0
302,Argentina,Male,65+,2019,151736.0
306,Argentina,Female,Total,2019,782533.0
310,Argentina,Female,15-24,2019,69904.0
314,Argentina,Female,25-54,2019,396838.0
318,Argentina,Female,55-64,2019,111438.0
322,Argentina,Female,65+,2019,204354.0
326,Argentina,Total,15+,2018,1434965.0
330,Argentina,Total,15-64,2018,1047439.0000000001
334,Argentina,Total,15-24,2018,146975.0
338,Argentina,Total,25+,2018,1287990.0
342,Argentina,Male,15+,2018,653327.0
346,Argentina,Male,15-64,2018,487253.0
350,Argentina,Male,15-24,2018,80844.0
354,Argentina,Male,25+,2018,572483.0
358,Argentina,Female,15+,2018,781638.0
362,Argentina,Female,15-64,2018,560186.0
366,Argentina,Female,15-24,2018,66131.0
370,Argentina,Female,25+,2018,715507.0
374,Argentina,Total,Total,2018,1434965.0
378,Argentina,Total,15-24,2018,146975.0
382,Argentina,Total,25-54,2018,705515.0
386,Argentina,Total,55-64,2018,194949.0
390,Argentina,Total,65+,2018,387526.0
394,Argentina,Male,Total,2018,653327.0
398,Argentina,Male,15-24,2018,80844.0
402,Argentina,Male,25-54,2018,322640.0
406,Argentina,Male,55-64,2018,83769.0
410,Argentina,Male,65+,2018,166074.0
414,Argentina,Female,Total,2018,781638.0
418,Argentina,Female,15-24,2018,66131.0
422,Argentina,Female,25-54,2018,382875.0
426,Argentina,Female,55-64,2018,111180.0
430,Argentina,Female,65+,2018,221452.0
434,Argentina,Total,15+,2017,1281541.0
438,Argentina,Total,15-64,2017,900396.0
442,Argentina,Total,15-24,2017,102331.0
446,Argentina,Total,25+,2017,1179210.0
450,Argentina,Male,15+,2017,567664.0
454,Argentina,Male,15-64,2017,408957.0
458,Argentina,Male,15-24,2017,53232.0
462,Argentina,Male,25+,2017,514432.0
466,Argentina,Female,15+,2017,713878.0
470,Argentina,Female,15-64,2017,491439.0
474,Argentina,Female,15-24,2017,49099.0
478,Argentina,Female,25+,2017,664779.0
482,Argentina,Total,Total,2017,1281541.0
486,Argentina,Total,15-24,2017,102331.0
490,Argentina,Total,25-54,2017,623458.0
494,Argentina,Total,55-64,2017,174607.0
498,Argentina,Total,65+,2017,381145.0
502,Argentina,Male,Total,2017,567664.0
506,Argentina,Male,15-24,2017,53232.0
510,Argentina,Male,25-54,2017,280788.0
514,Argentina,Male,55-64,2017,74938.0
518,Argentina,Male,65+,2017,158706.0
522,Argentina,Female,Total,2017,713878.0
526,Argentina,Female,15-24,2017,49099.0
530,Argentina,Female,25-54,2017,342671.0
534,Argentina,Female,55-64,2017,99670.0
538,Argentina,Female,65+,2017,222439.0
542,Argentina,Total,15+,2014,1165943.0
546,Argentina,Total,15-64,2014,882125.0
550,Argentina,Total,15-24,2014,133813.0
554,Argentina,Total,25+,2014,1032130.0000000001
558,Argentina,Male,15+,2014,535614.0
562,Argentina,Male,15-64,2014,413904.0
566,Argentina,Male,15-24,2014,69019.0
570,Argentina,Male,25+,2014,466595.0
574,Argentina,Female,15+,2014,630329.0
578,Argentina,Female,15-64,2014,468221.0
582,Argentina,Female,15-24,2014,64794.0
586,Argentina,Female,25+,2014,565535.0
590,Argentina,Total,Total,2014,1165943.0
594,Argentina,Total,15-24,2014,133813.0
598,Argentina,Total,25-54,2014,601307.0
602,Argentina,Total,55-64,2014,147005.0
606,Argentina,Total,65+,2014,283818.0
610,Argentina,Male,Total,2014,535614.0
614,Argentina,Male,15-24,2014,69019.0
618,Argentina,Male,25-54,2014,280019.0
622,Argentina,Male,55-64,2014,64866.0
626,Argentina,Male,65+,2014,121710.0
630,Argentina,Female,Total,2014,630329.0
634,Argentina,Female,15-24,2014,64794.0
638,Argentina,Female,25-54,2014,321288.0
642,Argentina,Female,55-64,2014,82139.0
646,Argentina,Female,65+,2014,162108.0
