,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
0,1990,Argentina,430155.0,1649919.0,160000.0,1.019,32637658,0.0131797140591399,0.0049023125372537,590155.0,2313.96 ,-2.46721377810472,16574139,2402180,2179696,1854616,1487011,1271987,16063518,2442821,2185065,1803790,1398692,1052827,4844999,4364763,3658407,2885702,2324813,77,2
1,1995,Argentina,481968.0,1595069.0,-105000.0,-0.623,34946116,0.0137917472717139,-0.0030046257501119,376968.0,3.38 ,-2.84520961057079,17725496,2627136,2267300,2015137,1596303,1326898,17220604,2669714,2283855,1976592,1495733,1122336,5296853,4551158,3991734,3092037,2449235,89,3
2,2000,Argentina,555542.0,1540219.0,-128000.0,-0.714,37070772,0.0149859841062926,-0.0034528549877515,427542.0,-0.94 ,-0.78899893905691,18790032,2957242,2363425,2125283,1767910,1352177,18280754,3036514,2383544,2100097,1658618,1163545,5993757,4746971,4225378,3426527,2515723,57,9
3,2005,Argentina,805291.0,1674163.0,-125000.0,-0.66,39070504,0.020611226310262,-0.0031993444466444,680291.0,9.64 ,8.85165992013437,19791350,3148745,2580417,2213494,1924866,1458132,19279144,3258992,2602666,2199919,1823150,1256212,6407735,5183083,4413415,3748014,2714346,40,12
4,2010,Argentina,938639.0,1805957.0,-120000.0,-0.602,41100124,0.0228378629709243,-0.0029196992203721,818639.0,10.78 ,10.1253981561002,20791630,3218134,2906586,2311134,2041100,1625737,20308494,3338457,2966829,2304458,1954009,1413312,6556591,5873413,4615592,3995110,3039048,41,4
5,2015,Argentina,943843.0,2086301.0,30000.0,0.143,43257064,0.0218193957870094,0.0006935283448733,973843.0,11.9 ,2.73115982828944,21854740,3353598,3116044,2536784,2137749,1779244,21402326,3493734,3207403,2532476,2065307,1567496,6847333,6323446,5069262,4203057,3346741,32,3
6,2020,Argentina,1076148.0,2281728.0,24000.0,0.109,45036030,0.023895267855537,0.00053290665274,1100148.0,42.02 ,-9.94323513446069,22739028,3431394,3204566,2871541,2240403,1894335,22297002,3581129,3305020,2902637,2173048,1687651,7012522,6509587,5774179,4413449,3581987,73,4
7,1990,Barbados,84766.0,24024.0,-6311.0,-4.881,258871,0.3274449436205677,-0.0243789377720949,78455.0,3.07 ,-3.30759330759331,134382,23735,21994,13703,10249,9827,124508,23686,20700,12716,8400,7499,47422,42694,26417,18647,17322,0,0
8,1995,Barbados,89612.0,26224.0,-5393.0,-4.094,262309,0.3416276223842872,-0.0205597215497752,84219.0,1.88 ,2.01399800028568,136371,22152,23648,17374,10998,9857,125961,22171,22197,16209,9307,7537,44321,45843,33580,20302,17393,0,0
9,2000,Barbados,94998.0,28424.0,-3643.0,-2.711,264663,0.3589394815293411,-0.0137646743216845,91355.0,2.44 ,4.44718962322422,137803,20331,22478,20521,13071,10125,126876,20137,21120,18675,11604,7954,40469,43599,39193,24677,18078,0,0
10,2005,Barbados,92975.0,30624.0,-3188.0,-2.328,269489,0.3450048053909436,-0.0118297963924316,89787.0,6.08 ,3.95545760352627,140665,19574,21299,22415,16404,10539,128837,18997,20072,20055,14731,8551,38574,41372,42472,31134,19086,1,0
11,2010,Barbados,96193.0,32825.0,-249.0,-0.178,274717,0.3501530666103663,-0.0009063873003854,95944.0,5.82 ,-2.36516470308347,143683,19411,20433,21788,19377,12549,131060,18642,18895,19461,17016,10617,38051,39325,41250,36390,23165,1,0
