,Country,Gender,Activity,Currency,Year,Amount
493,Argentina,Total,Agricultura,Divisa: Dólar estadounidense,2021,707.11
496,Argentina,Total,Manufacturas,Divisa: Dólar estadounidense,2021,578.74
499,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2021,401.24
502,Argentina,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2021,849.86
505,Argentina,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2021,588.69
508,Argentina,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2021,511.93
517,Argentina,Male,Agricultura,Divisa: Dólar estadounidense,2021,686.28
520,Argentina,Male,Manufacturas,Divisa: Dólar estadounidense,2021,600.82
523,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2021,396.68
526,Argentina,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2021,898.87
529,Argentina,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2021,647.46
532,Argentina,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2021,644.72
541,Argentina,Female,Agricultura,Divisa: Dólar estadounidense,2021,806.54
544,Argentina,Female,Manufacturas,Divisa: Dólar estadounidense,2021,491.9
547,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2021,512.55
550,Argentina,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2021,689.22
553,Argentina,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2021,480.77
556,Argentina,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2021,446.1
565,Argentina,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2021,707.11
568,Argentina,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2021,547.98
571,Argentina,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2021,578.74
574,Argentina,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2021,855.17
577,Argentina,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2021,884.45
580,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2021,401.24
583,Argentina,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2021,470.23
586,Argentina,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2021,665.11
589,Argentina,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2021,359.81
592,Argentina,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2021,987.36
595,Argentina,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2021,976.44
598,Argentina,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2021,503.17
601,Argentina,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2021,695.94
604,Argentina,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2021,455.55
607,Argentina,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2021,685.94
610,Argentina,Total,Enseñanza,Divisa: Dólar estadounidense,2021,520.16
613,Argentina,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2021,590.31
616,Argentina,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2021,490.28
619,Argentina,Total,Otras actividades de servicios,Divisa: Dólar estadounidense,2021,394.09
622,Argentina,Total,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2021,158.86
625,Argentina,Total,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2021,724.26
634,Argentina,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2021,686.28
637,Argentina,Male,Explotación de minas y canteras,Divisa: Dólar estadounidense,2021,415.33
640,Argentina,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2021,600.82
643,Argentina,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2021,831.04
646,Argentina,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2021,961.39
649,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2021,396.68
652,Argentina,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2021,523.42
655,Argentina,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2021,670.38
658,Argentina,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2021,403.22
661,Argentina,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2021,1040.27
664,Argentina,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2021,1096.34
667,Argentina,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2021,562.04
670,Argentina,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2021,786.36
673,Argentina,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2021,512.66
676,Argentina,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2021,689.1
679,Argentina,Male,Enseñanza,Divisa: Dólar estadounidense,2021,586.64
682,Argentina,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2021,702.73
685,Argentina,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2021,550.01
688,Argentina,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2021,468.26
691,Argentina,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2021,146.87
694,Argentina,Male,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2021,775.76
703,Argentina,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2021,806.54
706,Argentina,Female,Explotación de minas y canteras,Divisa: Dólar estadounidense,2021,587.6
709,Argentina,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2021,491.9
712,Argentina,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2021,964.18
715,Argentina,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2021,577.12
718,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2021,512.55
721,Argentina,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2021,387.87
724,Argentina,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2021,629.2
727,Argentina,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2021,299.45
730,Argentina,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2021,816.31
733,Argentina,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2021,822.49
736,Argentina,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2021,444.13
739,Argentina,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2021,618.4
742,Argentina,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2021,345.22
745,Argentina,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2021,682.19
748,Argentina,Female,Enseñanza,Divisa: Dólar estadounidense,2021,499.15
